case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass
ex223,ex223_r72_segdelta_hi7_lo3_abc_g_aig,iverilog,not_run,0,,sub-fp16-int-r72,official evaluate.py used for equivalence; iverilog not needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/simulation_results.csv,fp16,not_run
ex245,ex245_r72_normcarry_rel,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex244,ex244_r72_sqscore_output_classifier,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex244,ex244_r72_sqscore_delta_smax,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex249,ex249_r72_sqscore_output_classifier,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex249,ex249_r72_sqscore_delta_smax,iverilog,not_run,0,,sub-fp8-addhyp-r72,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/simulation_results.csv,float_fp8,not_run
ex246,ex246_r72_shared_exp_product_normalizer,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex246,ex246_r72_log_product_recode,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex247,ex247_r72_qdigit_recurrence,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex247,ex247_r72_denclass_bdd_grouped,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex241,ex241_r72_shared_exp_exception_shell,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex241,ex241_r72_scaled_integer_quantizer,iverilog,not_run,0,,sub-fp8-muldiv-r72,iverilog not available on PATH; official evaluate.py used for equivalence/QoR,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-muldiv-r72/simulation_results.csv,float_fp8,not_run
ex285,ex285_r72_alt_source_edge_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex285,ex285_r72_outer_key_cofactor_bdd,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex288,ex288_r72_alt_source_edge_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex288,ex288_r72_outer_key_cofactor_bdd,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex297,ex297_r72_single_lane_majority_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex297,ex297_r72_single_lane_bitsource_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex299,ex299_r72_single_lane_majority_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
ex299,ex299_r72_single_lane_bitsource_po,not_run,not_run,,,sub-unknown-r72,exact-by-construction source wrapper; official evaluate.py is the authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-unknown-r72/simulation_results.csv,unknown,not_run
