case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex246,ex246_round21_product_residual_shell_synth_preset_aig,not_run,skipped,,fp8-tight-next-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,official evaluate.py used for checkpoint; iverilog is debug only
ex241,ex241_r21_nested_exp_product_noabc,not_run,official_evaluate_used,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-wide-follow-r21/ex241/logs/ex241_r21_nested_exp_product_noabc.official_evaluate.log,fp8-wide-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,iverilog skipped for file-first checkpoint; official evaluate.py is authoritative.
ex245,ex245_r21_split_bdd_expmajor_default,not_run,official_evaluate_used,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-wide-next-r21/ex245/logs/ex245_r21_split_bdd_expmajor_default.official_evaluate.log,fp8-wide-next-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,iverilog skipped; official evaluate.py is authoritative.
ex276,ex276_r21_q43_residual_trial,iverilog,not_run_official_evaluate_only,,integer-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,debug simulation skipped because official evaluate.py passed
ex266,ex266_round21_remaining_blocker,not_run,not_run,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/integer-remain-r21/ex266/diagnostics/ex266_round21_blocked_no_candidate_evidence.md,integer-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,diagnostic-backed blocker; no simulation candidate emitted
ex274,ex274_r21_diag4_csa,,,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/integer-square-r21/ex274/logs/ex274_r21_diag4_csa.evaluate.py.log,,ex200_ex299_frontend_refgap_round21_20260613_0040,
ex297,BLOCKED_NO_CANDIDATE,full_truth_python_diagnostic,complete,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-final-r21/ex297/diagnostics/ex297_r21_ring_moment_blocker.md,unknown-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,Full truth diagnostic only; no simulation candidate emitted.
ex288,BLOCKED_NO_CANDIDATE,full_truth_python_diagnostic,complete,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-follow2-r21/ex288/diagnostics/ex288_round21_follow2_blocked_no_candidate.md,unknown-follow2-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,Full truth diagnostics only; no simulation candidate emitted.
ex295,ex295_r21_cell_grouped_symbol_plane_abc_g_aig,python_truth_construction,PASS_BY_CONSTRUCTION_AND_OFFICIAL_EVALUATE,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-next-r21/ex295/logs/ex295_r21_cell_grouped_symbol_plane_abc_g_aig.evaluate.log,unknown-next-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,Verilog emitted from abc_xf truth table model; evaluate.py is official result
ex295,ex295_r21_rotcell0_orbit_case_abc_g_aig,python_truth_construction,OFFICIAL_NOT_EQUIV,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-next-r21/ex295/logs/ex295_r21_rotcell0_orbit_case_abc_g_aig.evaluate.log,unknown-next-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,Verilog emitted from abc_xf truth table model; evaluate.py is official result
