case,label,format,current_classification,current_variant,adp_ratio_to_reference,semantic_priority,sign_relation,arith_fit,active_exp_groups_pos,active_exp_groups_neg,doc_path
ex214,bf16_reciprocal_square,bf16,semantic_hybrid,default_expr_exception_case,1.574257,high,same_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex214/semantic_notes.md
ex215,bf16_reciprocal_sqrt,bf16,structural_exact,sign_pair_case,1.588889,high,canonical_nan,True,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex215/semantic_notes.md
ex216,bf16_cube,bf16,semantic_hybrid,semantic_positive_symmetry_fields,1.822461,high,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex216/semantic_notes.md
ex217,bf16_cbrt,bf16,structural_exact,positive_default_exp_mant_delta,1.877960,high,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex217/semantic_notes.md
ex218,bf16_reciprocal_cube,bf16,structural_exact,value_case,2.155493,high,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex218/semantic_notes.md
ex219,bf16_reciprocal_cbrt,bf16,structural_exact,exp_mant_delta_pair,1.998404,high,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex219/semantic_notes.md
ex220,fp16_exp,fp16,structural_exact,exp_mant_pair_case,1.311434,medium,positive_zero,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex220/semantic_notes.md
ex221,fp16_exp2,fp16,structural_exact,exp_mant_pair_case,1.452160,medium,positive_zero,,2,2,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex221/semantic_notes.md
ex222,fp16_exp10,fp16,structural_exact,positive_default_exp_mant_case,1.345056,medium,positive_zero,,2,2,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex222/semantic_notes.md
ex223,fp16_log,fp16,structural_exact,sign_exp_mant_case,2.130022,high,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex223/semantic_notes.md
ex224,fp16_log2,fp16,structural_exact,sign_exp_mant_case,2.054955,high,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex224/semantic_notes.md
ex225,fp16_log10,fp16,structural_exact,sign_exp_mant_case,2.289828,high,canonical_nan,,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex225/semantic_notes.md
ex226,fp16_sin,fp16,structural_exact,positive_default_exp_mant_case,1.309277,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex226/semantic_notes.md
ex227,fp16_tan,fp16,structural_exact,positive_default_exp_mant_case,1.300915,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex227/semantic_notes.md
ex228,fp16_sinh,fp16,semantic_hybrid,semantic_sign_exp_field_defaults,1.380495,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex228/semantic_notes.md
ex229,fp16_tanh,fp16,structural_exact,exp_mant_pair_case,1.444728,medium,sign_flip_positive_output,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex229/semantic_notes.md
ex230,fp16_sigmoid,fp16,structural_exact,sign_exp_mant_case,1.364457,medium,positive_zero,,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex230/semantic_notes.md
ex231,fp16_reciprocal,fp16,structural_exact,positive_default_exp_mant_case,1.481729,medium,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex231/semantic_notes.md
ex232,fp16_square,fp16,structural_exact,positive_default_exp_mant_delta,1.732751,high,same_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex232/semantic_notes.md
ex233,fp16_sqrt,fp16,structural_exact,positive_default_exp_mant_case,1.529295,high,canonical_nan,True,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex233/semantic_notes.md
ex234,fp16_reciprocal_square,fp16,structural_exact,sign_pair_case,1.487951,medium,same_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex234/semantic_notes.md
ex235,fp16_reciprocal_sqrt,fp16,semantic_hybrid,semantic_sign_exp_field_defaults,1.541250,high,canonical_nan,True,1,0,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex235/semantic_notes.md
ex236,fp16_cube,fp16,semantic_exact,semantic_arith_fields_with_exceptions,1.514170,medium,sign_flip_positive_output,False,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex236/semantic_notes.md
ex237,fp16_cbrt,fp16,structural_exact,positive_default_exp_mant_case,1.405896,medium,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex237/semantic_notes.md
ex238,fp16_reciprocal_cube,fp16,structural_exact,exp_mant_pair_case,1.623059,high,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex238/semantic_notes.md
ex239,fp16_reciprocal_cbrt,fp16,semantic_exact,semantic_arith_fields,1.483998,watch,sign_flip_positive_output,True,1,1,/home/b10507053/ALS_Final_Project/student/work/semantic_reconstruction_20260604_1638/ex239/semantic_notes.md
