case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_dc_seed12 + default + raw,direct significand multiply with seed12 product don't-care completion,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed12_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed12_direct_decode + synth_preset + raw,direct product seed12 completion with direct field decode instead of sig/exp helper calls,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed228_direct_decode_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed228_direct_decode + default + raw,direct product seed228 completion with direct field decode instead of sig/exp helper calls,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed228_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed228_direct_decode + extra_share + raw,direct product seed228 completion with direct field decode instead of sig/exp helper calls,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed228_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed228_direct_decode + abc_g_aig + raw,direct product seed228 completion with direct field decode instead of sig/exp helper calls,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_seed228_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_product_seed228_direct_decode + synth_preset + raw,direct product seed228 completion with direct field decode instead of sig/exp helper calls,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_direct_decode_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_direct_decode + default + raw,denominator-first bound/smallpat classifier with direct field decode,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_direct_decode + extra_share + raw,denominator-first bound/smallpat classifier with direct field decode,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_direct_decode + abc_g_aig + raw,denominator-first bound/smallpat classifier with direct field decode,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_direct_decode + synth_preset + raw,denominator-first bound/smallpat classifier with direct field decode,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_num_direct_decode_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num_direct_decode + default + raw,numerator-first bound/smallpat classifier with direct field decode,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_num_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num_direct_decode + extra_share + raw,numerator-first bound/smallpat classifier with direct field decode,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_num_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num_direct_decode + abc_g_aig + raw,numerator-first bound/smallpat classifier with direct field decode,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_num_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num_direct_decode + synth_preset + raw,numerator-first bound/smallpat classifier with direct field decode,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_flat_direct_decode_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_flat_direct_decode + default + raw,flat bound/smallpat classifier with direct field decode,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_flat_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_flat_direct_decode + extra_share + raw,flat bound/smallpat classifier with direct field decode,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_flat_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_flat_direct_decode + abc_g_aig + raw,flat bound/smallpat classifier with direct field decode,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_flat_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_flat_direct_decode + synth_preset + raw,flat bound/smallpat classifier with direct field decode,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode + default + raw,denominator-first bound/smallpat classifier with case attributes and direct field decode,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode + extra_share + raw,denominator-first bound/smallpat classifier with case attributes and direct field decode,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode + abc_g_aig + raw,denominator-first bound/smallpat classifier with case attributes and direct field decode,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r57,ex247_ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den_parallel_direct_decode + synth_preset + raw,denominator-first bound/smallpat classifier with case attributes and direct field decode,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
