case,priority,hypothesis,evidence,next_experiment,excluded_or_deprioritized
ex284,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=758,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex285,2,non-half split/default structure,rotate4_low10 exceptions=2048 fraction=0.500000,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex285,2,shared BDD order still worth source-level rewrite,best limited BDD order split_rot8 nodes=437,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex286,2,non-half split/default structure,rotate5_low11 exceptions=4096 fraction=0.500000,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex286,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=837,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex287,2,non-half split/default structure,rotate4_low12 exceptions=8192 fraction=0.500000,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex287,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=1088,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex288,2,non-half split/default structure,rotate5_low13 exceptions=16384 fraction=0.500000,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex288,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=1170,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex289,2,non-half split/default structure,rotate4_low14 exceptions=32768 fraction=0.500000,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex289,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=1131,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex290,2,non-half split/default structure,rotate4_low11 exceptions=1768 fraction=0.431641,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex290,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=2310,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex291,2,non-half split/default structure,rotate8_low12 exceptions=3456 fraction=0.421875,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex291,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=3083,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex292,2,non-half split/default structure,rotate4_low13 exceptions=7024 fraction=0.428711,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex292,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=3807,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex293,2,non-half split/default structure,rotate10_low14 exceptions=14176 fraction=0.432617,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex293,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=4759,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex294,2,non-half split/default structure,rotate8_low15 exceptions=27648 fraction=0.421875,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex294,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=6020,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex295,1,rotation/reversal equivariant classifier,rotl_equiv_10 matches 4096/4096,write shared canonical class predicate plus rotated output reconstruction,generic half split/rotation/value-case/tree already covered in previous runs
ex295,2,non-half split/default structure,rotate0_low11 exceptions=1826 fraction=0.445801,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex295,2,shared BDD order still worth source-level rewrite,best limited BDD order center nodes=5265,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex296,1,selected-bit or support-limited LUT decomposition,1/13 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex296,2,non-half split/default structure,rotate11_low12 exceptions=2568 fraction=0.313477,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex296,2,shared BDD order still worth source-level rewrite,best limited BDD order reverse nodes=5462,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex297,1,rotation/reversal equivariant classifier,rotl_equiv_10 matches 16384/16384,write shared canonical class predicate plus rotated output reconstruction,generic half split/rotation/value-case/tree already covered in previous runs
ex297,2,non-half split/default structure,rotate0_low13 exceptions=7343 fraction=0.448181,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex297,2,shared BDD order still worth source-level rewrite,best limited BDD order natural nodes=20187,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex298,1,selected-bit or support-limited LUT decomposition,1/15 output bits have support <= 8,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest,generic half split/rotation/value-case/tree already covered in previous runs
ex298,2,non-half split/default structure,rotate13_low14 exceptions=10131 fraction=0.309174,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex298,2,shared BDD order still worth source-level rewrite,best limited BDD order interleave nodes=18693,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
ex299,1,rotation/reversal equivariant classifier,rotl_equiv_10 matches 65536/65536,write shared canonical class predicate plus rotated output reconstruction,generic half split/rotation/value-case/tree already covered in previous runs
ex299,2,non-half split/default structure,rotate0_low15 exceptions=29509 fraction=0.450272,generate arbitrary-width split/default RTL around this cut and compare against old half split,old generator only used half-width splits and fixed generic variants
ex299,2,shared BDD order still worth source-level rewrite,best limited BDD order natural nodes=72177,emit BDD with local mux/source rewrite and Yosys abc -g aig synthflow,generic half split/rotation/value-case/tree already covered in previous runs
