round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,shared_structure,method_signature,notes,shard_csv,structure_metrics,prior_signature_avoidance,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,outcome,prior_low_value_signatures_avoided,status,evidence_path,key_width,key_count
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_maxplus_corr_pla,max-code plus small correction as reduced multi-output PLA,E5M2FN packed hypot,max-code plus small correction as reduced multi-output PLA,"raw max/min decode, shared PLA predicate vector, max-plus correction assembler",ex249|E5M2FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,"not threshold sums, rawgap correction ROM, piecewise tiny mantissa, or square-score delta classifier",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/shared_structure_report.csv,,,E5M2FN packed hypot,"raw max/min decode, shared PLA predicate vector, max-plus correction assembler",maxplus_smallcorr_reduced_pla,medium,464/31/14384,equivalent,"not threshold sums, rawgap correction ROM, piecewise tiny mantissa, or square-score delta classifier",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex241,float_fp8,ex241_r73_cofactor_exp_product_dag,,E4M3FN packed multiply high byte times low byte,named shared predicate DAG over nan/sign/exp_sum/product with high-low output clusters,"sign xor, effective exponent sum, 4-bit significand product, shared key functions",,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,15,3606
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex241,float_fp8,ex241_r73_selected_low_common_subfunc,,E4M3FN packed multiply high byte times low byte,selected low-magnitude replacement using common exp/product subfunction over exact semantic shell,base nested exponent/product source for high bits plus shared low-magnitude key function,,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,15,3606
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex246,float_fp8,ex246_r73_cofactor_product_pred_dag,,E5M2FN packed multiply high byte times low byte,named shared predicate DAG over nan/sign/exp_sum/product with exponent-mantissa output clusters,"sign xor, effective exponent sum, 3-bit significand product, shared mag-high/mantissa functions",,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,14,2212
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex246,float_fp8,ex246_r73_selected_mant_common_subfunc,,E5M2FN packed multiply high byte times low byte,selected mantissa replacement using common product subfunction over seed12 exact shell,current product-class source for sign/exponent plus exact shared mantissa key function,,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,14,2212
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex247,float_fp8,ex247_r73_cofactor_delta_quot_dag,,E5M2FN packed low-over-high division,named shared predicate DAG over nan/sign/denzero/numzero/delta/sigpair with quotient clusters,"sign xor, exponent delta, numerator and denominator significands, shared quotient high/low functions",,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,16,4446
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex247,float_fp8,ex247_r73_selected_quot_hi_common_subfunc,,E5M2FN packed low-over-high division,selected quotient-high replacement using common delta/sigpair subfunction over boundary-region shell,round8 exact boundary-region source for sign/low bits plus shared quotient-high key function,,compact key was collision-free against official truth table,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/shared_structure_report.csv,,,,,,,,,,,,16,4446
,,sub-unknown-r73,ex285,unknown,ex285_r73_twohot_direct_overlay,hamming-weight routing source boundary factoring,hamming-weight routing source boundary factoring,exact popcount-2 direct source overlay on current exact source,current source plus 66 exact two-hot row overrides,ex285|hamming-weight routing source boundary factoring|exact popcount-2 direct source overlay on current exact source|reuse current source for all rows and override only two-hot rows with direct truth outputs|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_twohot_direct_overlay,"round73 stats={'twohot_rows': 66, 'line_count': 82}; synth_sec=10.156; eval_sec=0.314",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"12-bit Hamming-weight-preserving lossy routing/normalizer with exact input swaps 4/5 and 6/7; current best source is a compact decision tree, but no small local movement recurrence is known.",current source plus 66 exact two-hot row overrides,twohot_direct_overlay,round73 material change from forbidden r66-r72 signatures,805/17/13685,equivalent,"r66-r72 cell cube defaults, paircanon/selected phase, route-state residual, output-plane hybrid, outside-in cube, lane parity ANF, bitmix/cyclic-window/diagonal, single-lane bitsource/majority, alt_source_edge_po, sel0_identity replay",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log,,
,,sub-unknown-r73,ex285,unknown,ex285_r73_dualbit_outerkey_bdd,compact BDD cofactor by alternate outer key,compact BDD cofactor by alternate outer key,two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key,"current source plus dual-output outer-key BDD selected bits (2, 9)",ex285|compact BDD cofactor by alternate outer key|two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key|one inner-node pool shared across selected outputs and all outer-key cofactors|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_dualbit_outerkey_bdd,"round73 stats={'selected_bits': (2, 9), 'outer': (0, 11, 5, 6), 'inner': (1, 10, 2, 9, 3, 8, 4, 7), 'bdd_nodes': 634, 'line_count': 699}; synth_sec=11.183; eval_sec=0.280",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"12-bit Hamming-weight-preserving lossy routing/normalizer with exact input swaps 4/5 and 6/7; current best source is a compact decision tree, but no small local movement recurrence is known.","current source plus dual-output outer-key BDD selected bits (2, 9)",dualbit_outerkey_bdd,round73 material change from forbidden r66-r72 signatures,1742/16/27872,equivalent,"r66-r72 cell cube defaults, paircanon/selected phase, route-state residual, output-plane hybrid, outside-in cube, lane parity ANF, bitmix/cyclic-window/diagonal, single-lane bitsource/majority, alt_source_edge_po, sel0_identity replay",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log,,
,,sub-unknown-r73,ex288,unknown,ex288_r73_twohot_direct_overlay,hamming-weight routing source boundary factoring,hamming-weight routing source boundary factoring,exact popcount-2 direct source overlay on current exact source,current source plus 105 exact two-hot row overrides,ex288|hamming-weight routing source boundary factoring|exact popcount-2 direct source overlay on current exact source|reuse current source for all rows and override only two-hot rows with direct truth outputs|yosys_internal_abc_g_aig|official_evaluate|ex288_r73_twohot_direct_overlay,"round73 stats={'twohot_rows': 105, 'line_count': 121}; synth_sec=3.227; eval_sec=0.823",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"15-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair swaps 4/5, 6/7, and 8/9; current frontend has reference-level delay but excess area.",current source plus 105 exact two-hot row overrides,twohot_direct_overlay,round73 material change from forbidden r66-r72 signatures,2300/14/32200,equivalent,"r66-r72 paircanon/selected phase, route-state residual, outside-in cube, lane parity ANF, bitmix/cyclic-window/diagonal, alt_source_edge_po, outer_key selected-bit replay, bucket table repeats",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_twohot_direct_overlay.evaluate.py.log,,
,,sub-unknown-r73,ex288,unknown,ex288_r73_dualbit_outerkey_bdd,compact BDD cofactor by alternate outer key,compact BDD cofactor by alternate outer key,two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key,"current source plus dual-output outer-key BDD selected bits (5, 9)",ex288|compact BDD cofactor by alternate outer key|two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key|one inner-node pool shared across selected outputs and all outer-key cofactors|yosys_internal_abc_g_aig|official_evaluate|ex288_r73_dualbit_outerkey_bdd,"round73 stats={'selected_bits': (5, 9), 'outer': (0, 14, 6, 7, 8), 'inner': (1, 13, 2, 12, 3, 11, 4, 10, 5, 9), 'bdd_nodes': 1194, 'line_count': 1294}; synth_sec=4.204; eval_sec=0.826",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"15-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair swaps 4/5, 6/7, and 8/9; current frontend has reference-level delay but excess area.","current source plus dual-output outer-key BDD selected bits (5, 9)",dualbit_outerkey_bdd,round73 material change from forbidden r66-r72 signatures,3909/17/66453,equivalent,"r66-r72 paircanon/selected phase, route-state residual, outside-in cube, lane parity ANF, bitmix/cyclic-window/diagonal, alt_source_edge_po, outer_key selected-bit replay, bucket table repeats",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_dualbit_outerkey_bdd.evaluate.py.log,,
,,sub-unknown-r73,ex297,unknown,ex297_r73_sel1_fullword_overlay,bounded local selector wrapper for nonzero selector,bounded local selector wrapper for nonzero selector,selector-1 full-word inner cofactor table overlay on current exact source,current sel0-identity source plus selector-1 full-word cofactor overlay,ex297|bounded local selector wrapper for nonzero selector|selector-1 full-word inner cofactor table overlay on current exact source|reuse current source and replace only one nonzero selector branch without duplicating another whole source|yosys_internal_abc_g_aig|official_evaluate|ex297_r73_sel1_fullword_overlay,"round73 stats={'selector': 1, 'inner_rows': 128, 'line_count': 146}; synth_sec=31.042; eval_sec=1.041",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"14-bit cyclic 2-bit-symbol rot2/cell descriptor with exact even-rotation equivariance and full-ring dependence; sel0 identity is known, but nonzero selector branches still dominate area.",current sel0-identity source plus selector-1 full-word cofactor overlay,sel1_fullword_overlay,round73 material change from forbidden r66-r72 signatures,26721/16/427536,equivalent,"r66 cell_cube_defaults replay, r68 selected phase, r69 output-plane hybrid, r70 bitmix/cyclic window/diagonal, exact r71 sel0_identity replay, r72 single-lane majority/bitsource",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel1_fullword_overlay.evaluate.py.log,,
,,sub-unknown-r73,ex297,unknown,ex297_r73_sel2_cluster_bdd,shared local identity/selector PO-cluster replacement,shared local identity/selector PO-cluster replacement,selector-2 selected output-cluster BDD overlay on current exact source,"current sel0-identity source plus selector-2 BDD cluster bits (10, 11)",ex297|shared local identity/selector PO-cluster replacement|selector-2 selected output-cluster BDD overlay on current exact source|single inner BDD pool replaces only one 2-bit PO cluster under sel==2|yosys_internal_abc_g_aig|official_evaluate|ex297_r73_sel2_cluster_bdd,"round73 stats={'selector': 2, 'cluster_bits': (10, 11), 'bdd_nodes': 28, 'line_count': 51}; synth_sec=28.238; eval_sec=0.982",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"14-bit cyclic 2-bit-symbol rot2/cell descriptor with exact even-rotation equivariance and full-ring dependence; sel0 identity is known, but nonzero selector branches still dominate area.","current sel0-identity source plus selector-2 BDD cluster bits (10, 11)",sel2_cluster_bdd,round73 material change from forbidden r66-r72 signatures,26603/16/425648,equivalent,"r66 cell_cube_defaults replay, r68 selected phase, r69 output-plane hybrid, r70 bitmix/cyclic window/diagonal, exact r71 sel0_identity replay, r72 single-lane majority/bitsource",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel2_cluster_bdd.evaluate.py.log,,
,,sub-unknown-r73,ex299,unknown,ex299_r73_sel1_fullword_overlay,bounded local selector wrapper for nonzero selector,bounded local selector wrapper for nonzero selector,selector-1 full-word inner cofactor table overlay on current exact source,current sel0-identity source plus selector-1 full-word cofactor overlay,ex299|bounded local selector wrapper for nonzero selector|selector-1 full-word inner cofactor table overlay on current exact source|reuse current source and replace only one nonzero selector branch without duplicating another whole source|yosys_internal_abc_g_aig|official_evaluate|ex299_r73_sel1_fullword_overlay,"round73 stats={'selector': 1, 'inner_rows': 256, 'line_count': 274}; synth_sec=151.887; eval_sec=7.146",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"16-bit cyclic 2-bit-symbol rot2/cell descriptor with exact even-rotation equivariance and full-ring dependence; sel0 identity is known, while nonzero selector branches remain source-area heavy.",current sel0-identity source plus selector-1 full-word cofactor overlay,sel1_fullword_overlay,round73 material change from forbidden r66-r72 signatures,98970/18/1781460,equivalent,"r66 cell_cube_defaults replay, r68 selected phase, r69 output-plane hybrid, r70 bitmix/cyclic window/diagonal, exact r71 sel0_identity replay, r72 single-lane majority/bitsource",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel1_fullword_overlay.evaluate.py.log,,
,,sub-unknown-r73,ex299,unknown,ex299_r73_sel2_cluster_bdd,shared local identity/selector PO-cluster replacement,shared local identity/selector PO-cluster replacement,selector-2 selected output-cluster BDD overlay on current exact source,"current sel0-identity source plus selector-2 BDD cluster bits (8, 9)",ex299|shared local identity/selector PO-cluster replacement|selector-2 selected output-cluster BDD overlay on current exact source|single inner BDD pool replaces only one 2-bit PO cluster under sel==2|yosys_internal_abc_g_aig|official_evaluate|ex299_r73_sel2_cluster_bdd,"round73 stats={'selector': 2, 'cluster_bits': (8, 9), 'bdd_nodes': 54, 'line_count': 79}; synth_sec=142.733; eval_sec=6.386",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/shared_structure_report.csv,,,"16-bit cyclic 2-bit-symbol rot2/cell descriptor with exact even-rotation equivariance and full-ring dependence; sel0 identity is known, while nonzero selector branches remain source-area heavy.","current sel0-identity source plus selector-2 BDD cluster bits (8, 9)",sel2_cluster_bdd,round73 material change from forbidden r66-r72 signatures,98767/18/1777806,equivalent,"r66 cell_cube_defaults replay, r68 selected phase, r69 output-plane hybrid, r70 bitmix/cyclic window/diagonal, exact r71 sel0_identity replay, r72 single-lane majority/bitsource",OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel2_cluster_bdd.evaluate.py.log,,
