case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex242,float_fp8,fp8-wide-r25,ex242_r25w_delta_sig_table_abc_g_aig,E4M3FN packed low-over-high division,delta and significand quotient magnitude table,"shared NaN/zero/sign shell, sig numerator/denominator, exponent delta","ex242|E4M3FN packed low-over-high division|delta and significand quotient magnitude table|shared NaN/zero/sign shell, sig numerator/denominator, exponent delta|abc_g_aig|exact_e4m3fn_div_low_over_high|delta/sig cofactor magnitude|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/verilog/ex242_r25w_delta_sig_table_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/aigs/ex242_r25w_delta_sig_table_abc_g_aig.aig,1,1,2067,29,59943,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_abc_g_aig.yosys.log
ex242,float_fp8,fp8-wide-r25,ex242_r25w_delta_sig_table_synth_preset_aig,E4M3FN packed low-over-high division,delta and significand quotient magnitude table,"shared NaN/zero/sign shell, sig numerator/denominator, exponent delta","ex242|E4M3FN packed low-over-high division|delta and significand quotient magnitude table|shared NaN/zero/sign shell, sig numerator/denominator, exponent delta|synth_preset_aig|exact_e4m3fn_div_low_over_high|delta/sig cofactor magnitude|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/verilog/ex242_r25w_delta_sig_table_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/aigs/ex242_r25w_delta_sig_table_synth_preset_aig.aig,1,1,2001,29,58029,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_synth_preset_aig.yosys.log
ex242,float_fp8,fp8-wide-r25,ex242_r25w_den_nested_attrs_abc_g_and,E4M3FN packed low-over-high division,denominator-nested quotient boundary attributes,"shared divisor shell, delta boundary regions, low direct magnitudes","ex242|E4M3FN packed low-over-high division|denominator-nested quotient boundary attributes|shared divisor shell, delta boundary regions, low direct magnitudes|abc_g_and|exact_e4m3fn_div_low_over_high|zero/sat/low/linear quotient region|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/verilog/ex242_r25w_den_nested_attrs_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/aigs/ex242_r25w_den_nested_attrs_abc_g_and.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_abc_g_and.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_abc_g_and.yosys.log
ex242,float_fp8,fp8-wide-r25,ex242_r25w_den_nested_attrs_abc_g_aig,E4M3FN packed low-over-high division,denominator-nested quotient boundary attributes,"shared divisor shell, delta boundary regions, low direct magnitudes","ex242|E4M3FN packed low-over-high division|denominator-nested quotient boundary attributes|shared divisor shell, delta boundary regions, low direct magnitudes|abc_g_aig|exact_e4m3fn_div_low_over_high|zero/sat/low/linear quotient region|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/verilog/ex242_r25w_den_nested_attrs_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/aigs/ex242_r25w_den_nested_attrs_abc_g_aig.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_abc_g_aig.yosys.log
ex242,float_fp8,fp8-wide-r25,ex242_r25w_den_nested_attrs_synth_preset_aig,E4M3FN packed low-over-high division,denominator-nested quotient boundary attributes,"shared divisor shell, delta boundary regions, low direct magnitudes","ex242|E4M3FN packed low-over-high division|denominator-nested quotient boundary attributes|shared divisor shell, delta boundary regions, low direct magnitudes|synth_preset_aig|exact_e4m3fn_div_low_over_high|zero/sat/low/linear quotient region|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/verilog/ex242_r25w_den_nested_attrs_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/aigs/ex242_r25w_den_nested_attrs_synth_preset_aig.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_den_nested_attrs_synth_preset_aig.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_maxeff_delta_abc_g_and,"E5M2FN packed hypot abs(high,low)",max-effective-exponent delta table,"shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta","ex249|E5M2FN packed hypot abs(high,low)|max-effective-exponent delta table|shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta|abc_g_and|exact_e5m2fn_hypot_abs_high_low|max-plus-delta with maxeff context|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_maxeff_delta_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_maxeff_delta_abc_g_and.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_abc_g_and.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_abc_g_and.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_maxeff_delta_abc_g_aig,"E5M2FN packed hypot abs(high,low)",max-effective-exponent delta table,"shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta","ex249|E5M2FN packed hypot abs(high,low)|max-effective-exponent delta table|shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta|abc_g_aig|exact_e5m2fn_hypot_abs_high_low|max-plus-delta with maxeff context|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_maxeff_delta_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_maxeff_delta_abc_g_aig.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_abc_g_aig.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_maxeff_delta_synth_preset_aig,"E5M2FN packed hypot abs(high,low)",max-effective-exponent delta table,"shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta","ex249|E5M2FN packed hypot abs(high,low)|max-effective-exponent delta table|shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|max-plus-delta with maxeff context|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_maxeff_delta_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_maxeff_delta_synth_preset_aig.aig,0,0,,,,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_synth_preset_aig.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_pair_delta_abc_g_and,"E5M2FN packed hypot abs(high,low)",direct max/min pair delta table,shared abs max/min decode and direct nonzero delta rows,"ex249|E5M2FN packed hypot abs(high,low)|direct max/min pair delta table|shared abs max/min decode and direct nonzero delta rows|abc_g_and|exact_e5m2fn_hypot_abs_high_low|max/min pair magnitude override|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_pair_delta_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_pair_delta_abc_g_and.aig,1,1,1130,28,31640,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_abc_g_and.evaluate.py.log,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_abc_g_and.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_pair_delta_abc_g_aig,"E5M2FN packed hypot abs(high,low)",direct max/min pair delta table,shared abs max/min decode and direct nonzero delta rows,"ex249|E5M2FN packed hypot abs(high,low)|direct max/min pair delta table|shared abs max/min decode and direct nonzero delta rows|abc_g_aig|exact_e5m2fn_hypot_abs_high_low|max/min pair magnitude override|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_pair_delta_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_pair_delta_abc_g_aig.aig,1,1,1092,27,29484,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_abc_g_aig.yosys.log
ex249,float_fp8,fp8-wide-r25,ex249_r25w_pair_delta_synth_preset_aig,"E5M2FN packed hypot abs(high,low)",direct max/min pair delta table,shared abs max/min decode and direct nonzero delta rows,"ex249|E5M2FN packed hypot abs(high,low)|direct max/min pair delta table|shared abs max/min decode and direct nonzero delta rows|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|max/min pair magnitude override|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/verilog/ex249_r25w_pair_delta_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/aigs/ex249_r25w_pair_delta_synth_preset_aig.aig,1,1,1075,29,31175,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_pair_delta_synth_preset_aig.yosys.log
ex248,float_fp8,fp8-wide-r25,ex248_r25w_delta_residue_abc_g_and,E5M2FN packed fmod low mod high,exact exponent-delta residue table,"shared divisor sig, numerator sig, exponent delta, remainder normalizer","ex248|E5M2FN packed fmod low mod high|exact exponent-delta residue table|shared divisor sig, numerator sig, exponent delta, remainder normalizer|abc_g_and|exact_e5m2fn_fmod_low_mod_high|residue then magnitude normalization|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_delta_residue_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_delta_residue_abc_g_and.aig,1,1,315,31,9765,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_abc_g_and.evaluate.py.log,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_abc_g_and.yosys.log
ex248,float_fp8,fp8-wide-r25,ex248_r25w_delta_residue_abc_g_aig,E5M2FN packed fmod low mod high,exact exponent-delta residue table,"shared divisor sig, numerator sig, exponent delta, remainder normalizer","ex248|E5M2FN packed fmod low mod high|exact exponent-delta residue table|shared divisor sig, numerator sig, exponent delta, remainder normalizer|abc_g_aig|exact_e5m2fn_fmod_low_mod_high|residue then magnitude normalization|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_delta_residue_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_delta_residue_abc_g_aig.aig,1,1,315,31,9765,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_abc_g_aig.yosys.log
ex248,float_fp8,fp8-wide-r25,ex248_r25w_delta_residue_synth_preset_aig,E5M2FN packed fmod low mod high,exact exponent-delta residue table,"shared divisor sig, numerator sig, exponent delta, remainder normalizer","ex248|E5M2FN packed fmod low mod high|exact exponent-delta residue table|shared divisor sig, numerator sig, exponent delta, remainder normalizer|synth_preset_aig|exact_e5m2fn_fmod_low_mod_high|residue then magnitude normalization|fp8_wide_r25",student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_delta_residue_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_delta_residue_synth_preset_aig.aig,1,1,311,33,10263,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_synth_preset_aig.yosys.log
