case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes
ex287,unknown,routing-r4,ex287_truth_rom_direct_r0,truth_rom_direct,r0,ex287|truth_rom_direct|r0|abc_read_truth_xf|official_evaluate,exact ROM descriptor from abc_xf truth table,shared truth descriptor covers all outputs,abc_read_truth_xf_st_write_aiger,abc_xf truth exact,full word,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex287/verilog/ex287_truth_rom_direct_r0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex287/aigs/ex287_truth_rom_direct_r0.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex287/logs/ex287_truth_rom_direct_r0.evaluate.log,1,1,21536,31,667616,27480,5782,0,0,official evaluate.py OK; exact descriptor but much worse than current frontend
ex297,unknown,state-r4,ex297_state_r4_truth_high_split_replay,truth_table_high_split_replay,high_split_default,ex297|truth_table_high_split_replay|high_split_default|official_evaluate,exact high split truth table,per high-half default with low-half exceptions,replayed_yosys_abc_AND_aigmap,abc_xf truth exact,full word,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex297/verilog/ex297_state_r4_truth_high_split_replay.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex297/aigs/ex297_state_r4_truth_high_split_replay.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex297/logs/ex297_state_r4_truth_high_split_replay.evaluate.log,1,1,33049,21,694029,583596,225900,0,0,equivalent_but_bad_qor; do_not_repeat_as_is
ex299,unknown,state-r4,ex299_state_r4_value_case_replay,truth_table_direct_value_case_replay,value_case,ex299|truth_table_direct_value_case_replay|value_case|official_evaluate,direct exhaustive input value case,no shared structure; full word table,replayed_yosys_abc_AND_aigmap,abc_xf truth exact,full word case table,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex299/verilog/ex299_state_r4_value_case_replay.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex299/aigs/ex299_state_r4_value_case_replay.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex299/logs/ex299_state_r4_value_case_replay.evaluate.log,1,1,121703,29,3529387,2604734,1013807,0,0,equivalent_but_bad_qor; do_not_repeat_as_is; avoids round3/r4 bad state descriptor families
ex225,fp16,mixed-r4b,ex225_log_nested_low12_hi5_mixedr4b_smoke0,fp16_log10,log_nested_low12_hi5,ex225|fp16_log10_nested_mantissa_recheck|log_nested_low12_hi5|shared_special_sign_exp_decode_plus_nested_mantissa_lut|official_evaluate_py|abc_xf_official_evaluate|positive_normal_exp_group_nested_low12_hi5,log_nested_low12_hi5,shared_special_sign_exp_decode_plus_nested_mantissa_lut,official_evaluate_py,abc_xf_official_evaluate,positive_normal_exp_group_nested_low12_hi5,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex225/verilog/ex225_log_nested_low12_hi5_mixedr4b_smoke0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex225/aigs/ex225_log_nested_low12_hi5_mixedr4b_smoke0.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex225/logs/ex225_log_nested_low12_hi5_mixedr4b_smoke0.evaluate.log,1,1,11533,19,219127,218728,116676,0,0,normalized from misplaced agent_shards/mixed-r4b row; official evaluate.py OK; candidate copied into mixed-r4b shard for replacement-worker smoke run; does not improve current frontend best
ex247,float_fp8,float-fp8-r4b,ex247_e5m2fn_div_magpair_quotient_wordcase,E5M2FN low-byte/high-byte division as direct exact magnitude-pair quotient representation,magpair_quotient_wordcase,ex247|fp8_division_magpair_quotient_wordcase|direct_magpair_quotient_wordcase|no_shared_structure_large_wordcase|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,direct_magpair_quotient_wordcase,no_shared_structure_large_wordcase,official_evaluate_py,abc_xf_official_evaluate,full_fp8_output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/verilog/ex247_e5m2fn_div_magpair_quotient_wordcase.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/aigs/ex247_e5m2fn_div_magpair_quotient_wordcase.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/logs/ex247_e5m2fn_div_magpair_quotient_wordcase.official_evaluate.log,1,1,4336,26,112736,9125,2975,0,0,"normalized from run candidates.csv; official evaluate.py status OK; exact direct {num_mag,den_mag}->quotient magnitude wordcase; replacement worker first candidate"
ex247,float_fp8,float-fp8-r4,ex247_shared_decode_threshold_rounding_default,fp8_shared_decode_threshold_rounding,shared_decode_threshold_rounding_default,ex247|fp8_shared_decode_threshold_rounding|shared_decode_threshold_rounding_default|shared exponent/sign/mantissa decode plus threshold rounding|official_evaluate|abc_xf_official_evaluate|full fp8 output,shared_decode_threshold_rounding_default,shared exponent/sign/mantissa decode plus threshold rounding,official_evaluate,abc_xf_official_evaluate,full fp8 output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/verilog/ex247_shared_decode_threshold_rounding_default.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/aigs/ex247_shared_decode_threshold_rounding_default.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/logs/ex247_shared_decode_threshold_rounding_default.official_evaluate.log,1,1,479,35,16765,9125,2975,0,0,official evaluate.py OK but worse than current frontend; equivalent_but_bad_qor; do_not_repeat_as_is
ex286,unknown,routing-r4,ex286_fredkin_route_lossless_r0,fredkin_route_lossless,r0,ex286|fredkin_route_lossless|r0|abc_blif_strash|official_evaluate,compact controlled-swap routing primitive,5 shared selector stages over 13 outputs,abc_read_blif_strash_write_aiger,lossless Fredkin-style lane routing,full word,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex286/verilog/ex286_fredkin_route_lossless_r0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex286/aigs/ex286_fredkin_route_lossless_r0.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex286/logs/ex286_fredkin_route_lossless_r0.evaluate.log,0,0,-,-,-,21705,2376,0,0,official evaluate.py NOT_EQUIV; counterexample input 13'h0DFF
ex286,unknown,routing-r4b,ex286_unknown_symcof_interleave_f11_k4_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f11_k4_onehot_group,ex286|hamming_weight_preserving_lossy_routing_normalizer|multipair_symcof_interleave_f11_k4|shared_pair_canonical_key_cofactor_groups|yosys_abc_g_and|abc_xf_official_evaluate|classonehot_grouped_outputs,multipair_symcof_invalid_pair_completion_f11,shared_pair_canonical_key_cofactor_groups,yosys_abc_g_and,official_evaluate_py_abc_xf,classonehot_grouped_outputs,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex286/verilog/ex286_unknown_symcof_interleave_f11_k4_onehot_group.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex286/aigs/ex286_unknown_symcof_interleave_f11_k4_onehot_group.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex286/logs/ex286_unknown_symcof_interleave_f11_k4_onehot_group.evaluate.py.log,1,1,1464,16,23424,21705,2376,0,0,"official evaluate.py OK; pairs=4:5,6:7; order=interleave; policy=f11; mux_style=onehot; bdd_share=group; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=140:156:153:161:161:143:170:168:150:142:122:141:151:150:147:139; total_group_nodes=2394; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex297,unknown,state-r4b,ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig,nonlinear_ring_shear_state_transform,high-bit quadratic shear bijective key full case abc_g_aig,ex297|nonlinear_ring_shear_state_transform|high_bit_quadratic_shear_bijective_key_case|shared nonlinear shear key with full case output|yosys_abc_g_aig|abc_xf_official_evaluate|full word case by transformed key,high_bit_quadratic_shear_bijective_key_case,shared nonlinear shear key with full case output,yosys_abc_g_aig,abc_xf_official_evaluate,full word case by transformed key,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4b/ex297/verilog/ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4b/ex297/aigs/ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4b/ex297/logs/ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig.evaluate.log,1,1,41012,28,1148336,583596,225900,0,0,normalized from misplaced agent_shards/state-r4b row; equivalent_but_bad_qor; nonlinear_high-bit_ring_shear_bijective_key_case; not_high_split_not_cell_delta_not_bdd_not_anf
ex287,unknown,routing-r4b,ex287_unknown_symcof_interleave_f11_k5_case_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f11_k5_case_group,ex287|hamming_weight_preserving_lossy_routing_normalizer|multipair_symcof_interleave_f11_k5_case|shared_pair_canonical_key_cofactor_groups|yosys_abc_g_and|abc_xf_official_evaluate|case_mux_grouped_outputs,multipair_symcof_invalid_pair_completion_f11_case_mux,shared_pair_canonical_key_cofactor_groups,yosys_abc_g_and,official_evaluate_py_abc_xf,case_mux_grouped_outputs,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex287/verilog/ex287_unknown_symcof_interleave_f11_k5_case_group.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex287/aigs/ex287_unknown_symcof_interleave_f11_k5_case_group.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex287/logs/ex287_unknown_symcof_interleave_f11_k5_case_group.evaluate.py.log,1,1,1863,16,29808,27480,5782,0,0,"official evaluate.py OK; pairs=4:5,6:7,8:9; order=interleave; policy=f11; mux_style=case; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=139:135:133:126:170:140:126:120:104:118:100:119:114:107:137:139:134:130:121:126:145:135:126:124:133:119:135:139:120:113:157:152; total_group_nodes=4136; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex247,float_fp8,float-fp8-r4b,ex247_e5m2fn_div_magpair_quotient_wordcase,E5M2FN low-byte/high-byte division as direct exact magnitude-pair quotient representation,magpair_quotient_wordcase,ex247|fp8_e5m2fn_arithmetic_or_wordcase|magpair_quotient_wordcase|replacement_worker_float_r4b|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,magpair_quotient_wordcase,replacement_worker_float_r4b,official_evaluate_py,abc_xf_official_evaluate,full_fp8_output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/verilog/ex247_e5m2fn_div_magpair_quotient_wordcase.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/aigs/ex247_e5m2fn_div_magpair_quotient_wordcase.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/logs/ex247_e5m2fn_div_magpair_quotient_wordcase.official_evaluate.log,1,1,4336,26,112736,9125,2975,0,0,"normalized from root agent_shards/float-fp8-r4b; official evaluate.py status OK; exact direct {num_mag,den_mag}->quotient magnitude wordcase; replacement worker first candidate"
ex246,float_fp8,float-fp8-r4b,ex246_e5m2fn_mul_arith_normalize_rne,E5M2FN packed multiply as decoded significand product followed by exact RNE product-to-FP8 normalization,arith_normalize_rne,ex246|fp8_e5m2fn_arithmetic_or_wordcase|arith_normalize_rne|replacement_worker_float_r4b|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,arith_normalize_rne,replacement_worker_float_r4b,official_evaluate_py,abc_xf_official_evaluate,full_fp8_output,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex246/verilog/ex246_e5m2fn_mul_arith_normalize_rne.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex246/aigs/ex246_e5m2fn_mul_arith_normalize_rne.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex246/logs/ex246_e5m2fn_mul_arith_normalize_rne.official_evaluate.log,1,1,424,41,17384,7502,2805,0,0,"normalized from root agent_shards/float-fp8-r4b; official evaluate.py status OK; arithmetic product normalizer, not direct wordcase"
ex223,fp16,mixed-r4b,ex223_log_nested_low13_hi5_mixedr4b_smoke0,fp16_log,log_nested_low13_hi5,ex223|fp16_log_nested_mantissa_recheck|log_nested_low13_hi5|shared_special_sign_exp_decode_plus_nested_mantissa_lut|official_evaluate_py|abc_xf_official_evaluate|positive_normal_exp_group_nested_low13_hi5,log_nested_low13_hi5,shared_special_sign_exp_decode_plus_nested_mantissa_lut,official_evaluate_py,abc_xf_official_evaluate,positive_normal_exp_group_nested_low13_hi5,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex223/verilog/ex223_log_nested_low13_hi5_mixedr4b_smoke0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex223/aigs/ex223_log_nested_low13_hi5_mixedr4b_smoke0.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex223/logs/ex223_log_nested_low13_hi5_mixedr4b_smoke0.evaluate.log,1,1,10754,19,204326,204193,120549,0,0,official evaluate.py OK; non-improving low13 nested smoke row; do not repeat unchanged
