case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex240,fp8-wide-r9,ex240_round9_split_threshold_quant_default,split_threshold_quant,shared sorted field decode and threshold-band RNE quantizer,all 8 output bits,increase field decode and residual predicate sharing,area=2098 delay=146 adp=306308,official evaluate.py result recorded
ex240,fp8-wide-r9,,residual_mask_overlay,"planned in dossier, not emitted in convergence pass",planned all 8 output bits,alternate sharing form for future follow-up,not evaluated,not attempted after first selected family produced an official result
ex245,fp8-wide-r9,ex245_round9_split_threshold_quant_default,split_threshold_quant,shared sorted field decode and threshold-band RNE quantizer,all 8 output bits,increase field decode and residual predicate sharing,area=2652 delay=192 adp=509184,official evaluate.py result recorded
ex245,fp8-wide-r9,,residual_mask_overlay,"planned in dossier, not emitted in convergence pass",planned all 8 output bits,alternate sharing form for future follow-up,not evaluated,not attempted after first selected family produced an official result
ex286,routing-r9,,collision_path_ballot_descriptor,shared one-hot home decode plus global collision/path state,,blocked_no_exact_rule,blocked_no_exact_rule,A table over collision state would repeat rejected bucket/table directions; no Verilog emitted for this new descriptor. Separate ex286 symcof/ANF debug artifacts are non-counted because they repeat old directions or lack official evaluate.py logs.
ex287,routing-r9,,collision_path_ballot_descriptor,shared one-hot home decode plus global collision/path state,,blocked_no_exact_rule,blocked_no_exact_rule,A table over collision state would repeat rejected bucket/table directions; no Verilog emitted for this new descriptor.
ex297,state-r9,ex297_ring_state_transition_bank_mtbdd_cellorder,ring_state_transition_bank_mtbdd_cellorder,single multi-output reduced mux graph over fixed cell-phase order,all outputs,OK,OK,mtbdd_leaves=6660; mtbdd_nodes=14358; output_bits=14
ex297,state-r9,ex297_rotated_anf_monomial_bank,rotated_anf_monomial_bank,shared GF(2) monomial wires across all outputs,all outputs,SYNTH_TIMEOUT,SYNTH_TIMEOUT,anf_union_terms=15857; bit_terms=7354..7394; max_degree=14
ex299,state-r9,ex299_ring_state_transition_bank_mtbdd_cellorder,ring_state_transition_bank_mtbdd_cellorder,single multi-output reduced mux graph over fixed cell-phase order,all outputs,SYNTH_TIMEOUT,SYNTH_TIMEOUT,mtbdd_leaves=24485; mtbdd_nodes=55059; output_bits=16
ex299,state-r9,ex299_rotated_anf_monomial_bank,rotated_anf_monomial_bank,shared GF(2) monomial wires across all outputs,all outputs,BLOCKED_PRE_SYNTHESIS,BLOCKED_PRE_SYNTHESIS,anf_union_terms=63936; bit_terms=29834..30086; exceeds convergence cap
ex285,state-r9,ex285_compact_routing_descriptor_mtbdd_natural,compact_routing_descriptor_mtbdd_natural,single multi-output reduced mux graph,all outputs,OK,OK,mtbdd_leaves=903; mtbdd_nodes=1922; output_bits=12
ex285,state-r9,ex285_shared_anf_monomial_bank,shared_anf_monomial_bank,shared GF(2) monomial wires across all outputs,all outputs,OK,OK,anf_union_terms=2021; bit_terms=281..1203; max_degree=12
