case,output_aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,beats_reference,candidate_id,source_domain,source_run_id,source_run_path,source_csv,source_aig_path,source_kind,output_sha256,copied_at,notes
ex210,output/ex210.aig,2078,13,27014,27053,0.998558,1,ex210_r000_seed_seed_pextra01_a2078_d13_adp27014_45abbb0e,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex210/seeds/ex210_r000_seed_seed_pextra01_a2078_d13_adp27014_45abbb0e.aig,run,45abbb0ecc045632a11ecadfe78581bbc95d3842119a097f5eb74961d010524b,2026-06-15 12:11:46 +0800,
ex211,output/ex211.aig,230,9,2070,2136,0.969101,1,ex211_r001_v3_ga_v3_ga_sequence_pex211_r000_seed_seed_pex_a230_d9_adp2070_4206811a,bf16,targeted_backend_rescue_20260615_0424_near_ref_polish_bf16,targeted_backend_rescue_20260615_0424_near_ref_polish_bf16,student/runs/bf16/targeted_backend_rescue_20260615_0424_near_ref_polish_bf16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_near_ref_polish_bf16/ex211/artifacts/ex211_r001_v3_ga_v3_ga_sequence_pex211_r000_seed_seed_pex_a230_d9_adp2070_4206811a.aig,run,4206811a7436a71025ab4ac8edcaf15eebd7bb751497ec77cdb57ff264363a97,2026-06-15 12:11:46 +0800,
ex212,output/ex212.aig,241,9,2169,2304,0.941406,1,ex212_r004_v3_ga_v3_ga_sequence_pex212_r003_v3_ga_v3_ga_s_a241_d9_adp2169_96325988,bf16,ex200_ex219_backend_v3_ga_20260613_0956,ex200_ex219_backend_v3_ga_20260613_0956,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/best.csv,student/work/ex200_ex219_backend_v3_ga_20260613_0956/ex212/artifacts/ex212_r004_v3_ga_v3_ga_sequence_pex212_r003_v3_ga_v3_ga_s_a241_d9_adp2169_96325988.aig,run,9632598849a27e2ce96318e3f7d185acc84ca5d52a05ec25e1ab0ae7983fd823,2026-06-15 12:11:46 +0800,
ex213,output/ex213.aig,293,10,2930,2900,1.010345,0,ex213_r000_v3_ga_v3_ga_sequence_pex213_r000_seed_seed_pex_a293_d10_adp2930_3564a94d,bf16,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,student/runs/bf16/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/ex213/artifacts/ex213_r000_v3_ga_v3_ga_sequence_pex213_r000_seed_seed_pex_a293_d10_adp2930_3564a94d.aig,run,3564a94dabed25e28dfed2311b2825f25c28952b6f586a6b370b071f8fae5b48,2026-06-15 12:11:46 +0800,
ex214,output/ex214.aig,277,9,2493,2424,1.028465,0,ex214_r000_seed_seed_pextra01_a277_d9_adp2493_d04d6b04,bf16,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,student/runs/bf16/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/ex214/seeds/ex214_r000_seed_seed_pextra01_a277_d9_adp2493_d04d6b04.aig,run,d04d6b046cc9f8aae0b3869c9fbfc139da55c7b2d25a0f22c2280469f55bb66d,2026-06-15 12:11:46 +0800,targeted_rescue_baseline_best
ex215,output/ex215.aig,325,10,3250,3150,1.031746,0,ex215_r000_seed_seed_pextra01_a325_d10_adp3250_fbd58963,bf16,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01,student/runs/bf16/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_bf16_iter01/ex215/seeds/ex215_r000_seed_seed_pextra01_a325_d10_adp3250_fbd58963.aig,run,fbd58963c3b248a56461722e07452bcbf3889af75b41761c8fd2edc747bc5b23,2026-06-15 12:11:46 +0800,targeted_rescue_baseline_best
ex216,output/ex216.aig,353,9,3177,3357,0.946381,1,ex216_r005_v3_ga_v3_ga_sequence_pex216_r004_v3_ga_v3_ga_s_a353_d9_adp3177_bda9c54a,bf16,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/best.csv,student/work/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/ex216/artifacts/ex216_r005_v3_ga_v3_ga_sequence_pex216_r004_v3_ga_v3_ga_s_a353_d9_adp3177_bda9c54a.aig,run,bda9c54a05eab00a900ac22449b4d21913ad2ff05d0f133b30b5dbcec6dedf34,2026-06-15 12:11:46 +0800,
ex217,output/ex217.aig,429,12,5148,5785,0.889888,1,ex217_r000_seed_seed_pextra01_a429_d12_adp5148_a702ca37,bf16,ex217_v3a_feedback_seed_smoke_20260614_0618,ex217_v3a_feedback_seed_smoke_20260614_0618,student/runs/bf16/ex217_v3a_feedback_seed_smoke_20260614_0618/results/best.csv,student/work/ex217_v3a_feedback_seed_smoke_20260614_0618/ex217/seeds/ex217_r000_seed_seed_pextra01_a429_d12_adp5148_a702ca37.aig,run,a702ca37400eb6dfa5ed77d3a90f2f3c293ab1e8803ef8bf7e0afffa1c0ac9a2,2026-06-15 12:11:46 +0800,
ex218,output/ex218.aig,366,10,3660,3222,1.135940,0,ex218_r001_v3_ga_v3_ga_sequence_pex218_r000_seed_seed_pex_a366_d10_adp3660_6680e8ac,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex218/artifacts/ex218_r001_v3_ga_v3_ga_sequence_pex218_r000_seed_seed_pex_a366_d10_adp3660_6680e8ac.aig,run,6680e8acf0cfb2c4b1da2f403ea8fa54bfb5df3f57ae99c1a79b07c6865c8273,2026-06-15 12:11:46 +0800,
ex219,output/ex219.aig,452,12,5424,5640,0.961702,1,ex219_r000_seed_seed_pextra01_a452_d12_adp5424_029b4d33,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,newseeds_backend_full_20260614_1420_bf16_feedback_short,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/best.csv,student/work/newseeds_backend_full_20260614_1420_bf16_feedback_short/ex219/seeds/ex219_r000_seed_seed_pextra01_a452_d12_adp5424_029b4d33.aig,run,029b4d333562d9c3132f0ff754256c26b19d49e0b4d013fdbb1a82a034917fbb,2026-06-15 12:11:46 +0800,
ex220,output/ex220.aig,10611,17,180387,180404,0.999906,1,ex220_r000_v3_ga_v3_ga_sequence_pex220_r000_seed_seed_pex_a10611_d17_adp180387_34c1288f,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter01,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter01,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter01/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter01/ex220/artifacts/ex220_r000_v3_ga_v3_ga_sequence_pex220_r000_seed_seed_pex_a10611_d17_adp180387_34c1288f.aig,run,34c1288f73637667bb11cb373bb61de38f15d18c0f847723b10b9a13030aa95a,2026-06-15 12:11:46 +0800,
ex221,output/ex221.aig,6265,17,106505,105655,1.008045,0,ex221_r001_v3_ga_v3_ga_sequence_pex221_r000_seed_seed_pex_a6265_d17_adp106505_ac13df31,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/ex221/artifacts/ex221_r001_v3_ga_v3_ga_sequence_pex221_r000_seed_seed_pex_a6265_d17_adp106505_ac13df31.aig,run,ac13df318521851ba78678f8219cd765bafa0c9813b7e1a2ec71e4c6ec053642,2026-06-15 12:11:46 +0800,
ex222,output/ex222.aig,10223,17,173791,173621,1.000979,0,ex222_r002_v3_ga_v3_ga_sequence_pex222_r001_v3_ga_v3_ga_s_a10223_d17_adp173791_8a794304,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02/ex222/artifacts/ex222_r002_v3_ga_v3_ga_sequence_pex222_r001_v3_ga_v3_ga_s_a10223_d17_adp173791_8a794304.aig,run,8a794304dcc341ac26a09f7a59d68306717ffb725e7dec4dc8e1acfb6ded7bea,2026-06-15 12:11:46 +0800,
ex223,output/ex223.aig,9854,18,177372,120549,1.471368,0,ex223_r005_v3_ga_v3_ga_sequence_pex223_r000_v3_ga_v3_ga_s_a9854_d18_adp177372_51e93f21,fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,student/runs/fp16/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/ex223/artifacts/ex223_r005_v3_ga_v3_ga_sequence_pex223_r000_v3_ga_v3_ga_s_a9854_d18_adp177372_51e93f21.aig,run,51e93f2139fbce799e88125196798784aa1f14168d70b71fcba7c2ad673126cc,2026-06-15 12:11:46 +0800,
ex224,output/ex224.aig,5335,16,85360,64708,1.319157,0,ex224_r004_v3_ga_v3_ga_sequence_pex224_r003_v3_ga_v3_ga_s_a5335_d16_adp85360_f273e3fb,fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,student/runs/fp16/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/ex224/artifacts/ex224_r004_v3_ga_v3_ga_sequence_pex224_r003_v3_ga_v3_ga_s_a5335_d16_adp85360_f273e3fb.aig,run,f273e3fb43966732ddb25bc5dd85006bf14453dc327c392c3d7fe14541934a3c,2026-06-15 12:11:46 +0800,
ex225,output/ex225.aig,10802,18,194436,116676,1.666461,0,ex225_r005_v3_ga_v3_ga_sequence_pex225_r003_v3_ga_v3_ga_s_a10802_d18_adp194436_11e61bb9,fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16,student/runs/fp16/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_high_gap_rescue_fp16/ex225/artifacts/ex225_r005_v3_ga_v3_ga_sequence_pex225_r003_v3_ga_v3_ga_s_a10802_d18_adp194436_11e61bb9.aig,run,11e61bb9613dc7e9b626f1116d473f52de82142fd50136ffae94c0c5d91377be,2026-06-15 12:11:46 +0800,
ex226,output/ex226.aig,33176,18,597168,587790,1.015955,0,ex226_r000_seed_seed_pextra01_a33176_d18_adp597168_fdff9215,fp16,near_ref_heavy_parallel_20260615_0650_near_ref_heavy_fp16_iter01,near_ref_heavy_parallel_20260615_0650_near_ref_heavy_fp16_iter01,student/runs/fp16/near_ref_heavy_parallel_20260615_0650_near_ref_heavy_fp16_iter01/results/best.csv,student/work/near_ref_heavy_parallel_20260615_0650_near_ref_heavy_fp16_iter01/ex226/seeds/ex226_r000_seed_seed_pextra01_a33176_d18_adp597168_fdff9215.aig,run,fdff9215d7dd2f3d6821e02111b8e7eb1695aeeb01473fe8b471c8f526336325,2026-06-15 12:11:46 +0800,targeted_rescue_baseline_best
ex227,output/ex227.aig,39433,18,709794,721639,0.983586,1,ex227_r001_v3_ga_v3_ga_sequence_pex227_r000_seed_seed_pex_a39433_d18_adp709794_00d9f5cd,fp16,targeted_backend_rescue_20260615_0424_near_ref_polish_fp16,targeted_backend_rescue_20260615_0424_near_ref_polish_fp16,student/runs/fp16/targeted_backend_rescue_20260615_0424_near_ref_polish_fp16/results/best.csv,student/work/targeted_backend_rescue_20260615_0424_near_ref_polish_fp16/ex227/artifacts/ex227_r001_v3_ga_v3_ga_sequence_pex227_r000_seed_seed_pex_a39433_d18_adp709794_00d9f5cd.aig,run,00d9f5cd8fd6e9a1cfa154bb90d2f83094794af3d73d1c22c8f29fc5dc3d29e9,2026-06-15 12:11:46 +0800,
ex228,output/ex228.aig,6416,16,102656,101205,1.014337,0,ex228_r003_v3_ga_v3_ga_sequence_pex228_r000_seed_seed_pex_a6416_d16_adp102656_4ec6ba59,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter02/ex228/artifacts/ex228_r003_v3_ga_v3_ga_sequence_pex228_r000_seed_seed_pex_a6416_d16_adp102656_4ec6ba59.aig,run,4ec6ba59104ff20916a72d4d754a1b82d089665309c4b82c512994566cb578ec,2026-06-15 12:11:46 +0800,
ex229,output/ex229.aig,3338,15,50070,57968,0.863752,1,ex229_r006_v3_ga_v3_ga_sequence_pex229_r005_v3_ga_v3_ga_s_a3338_d15_adp50070_f4ee4790,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex229/artifacts/ex229_r006_v3_ga_v3_ga_sequence_pex229_r005_v3_ga_v3_ga_s_a3338_d15_adp50070_f4ee4790.aig,run,f4ee479075738169301b4c600adf007150887d386061cea802c1e6538315172d,2026-06-15 12:11:46 +0800,
ex230,output/ex230.aig,6554,17,111418,108320,1.028600,0,ex230_r002_v3_ga_v3_ga_sequence_pex230_r000_v3_ga_v3_ga_s_a6554_d17_adp111418_e88996af,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/ex230/artifacts/ex230_r002_v3_ga_v3_ga_sequence_pex230_r000_v3_ga_v3_ga_s_a6554_d17_adp111418_e88996af.aig,run,e88996afe4bf8c5e99a420a08d0148f481f3de6201d50d9af55956572c328c8f,2026-06-15 12:11:46 +0800,
ex231,output/ex231.aig,1025,13,13325,14066,0.947320,1,ex231_r007_v3_ga_v3_ga_sequence_pex231_r005_v3_ga_v3_ga_s_a1025_d13_adp13325_2d1b1abd,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex231/artifacts/ex231_r007_v3_ga_v3_ga_sequence_pex231_r005_v3_ga_v3_ga_s_a1025_d13_adp13325_2d1b1abd.aig,run,2d1b1abd0de772da7a7309a900106bcd3494fe4a07adef6fd82aaa125ddfda4a,2026-06-15 12:11:46 +0800,
ex232,output/ex232.aig,1122,12,13464,13392,1.005376,0,ex232_r001_v3_ga_v3_ga_sequence_pex232_r000_seed_seed_pex_a1122_d12_adp13464_4d617145,fp16,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03,student/runs/fp16/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/results/best.csv,student/work/near_ref_focused_20260615_1016_near_ref_heavy_fp16_iter03/ex232/artifacts/ex232_r001_v3_ga_v3_ga_sequence_pex232_r000_seed_seed_pex_a1122_d12_adp13464_4d617145.aig,run,4d617145cf93239d887179cebbd52d3486422d04117f9b7d1b8e83a75f2fbf81,2026-06-15 12:11:46 +0800,
ex233,output/ex233.aig,1315,14,18410,20174,0.912561,1,ex233_r007_v3_ga_v3_ga_sequence_pex233_r006_v3_ga_v3_ga_s_a1315_d14_adp18410_80532efa,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex233/artifacts/ex233_r007_v3_ga_v3_ga_sequence_pex233_r006_v3_ga_v3_ga_s_a1315_d14_adp18410_80532efa.aig,run,80532efa034f48e0a862f2b0b7b701030ffcc853d23ba0b594577f56963c3dca,2026-06-15 12:11:46 +0800,
ex234,output/ex234.aig,1284,12,15408,15561,0.990168,1,ex234_r003_v3_ga_v3_ga_sequence_pex234_r002_v3_ga_v3_ga_s_a1284_d12_adp15408_ca3c8fb3,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex234/artifacts/ex234_r003_v3_ga_v3_ga_sequence_pex234_r002_v3_ga_v3_ga_s_a1284_d12_adp15408_ca3c8fb3.aig,run,ca3c8fb31d90f4b7875f6053ad684f4aeabdd9e1b938fa2cb3a26693827d40d7,2026-06-15 12:11:46 +0800,
ex235,output/ex235.aig,1423,14,19922,20800,0.957788,1,ex235_r005_v3_ga_v3_ga_sequence_pex235_r004_v3_ga_v3_ga_s_a1423_d14_adp19922_675917d1,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex235/artifacts/ex235_r005_v3_ga_v3_ga_sequence_pex235_r004_v3_ga_v3_ga_s_a1423_d14_adp19922_675917d1.aig,run,675917d16dadd117b20a0b1be1fec456e2f963182189720648c7cdf83dc0b55d,2026-06-15 12:11:46 +0800,
ex236,output/ex236.aig,1267,13,16471,17290,0.952632,1,ex236_r007_v3_ga_v3_ga_sequence_pex236_r005_v3_ga_v3_ga_s_a1267_d13_adp16471_079cea5c,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex236/artifacts/ex236_r007_v3_ga_v3_ga_sequence_pex236_r005_v3_ga_v3_ga_s_a1267_d13_adp16471_079cea5c.aig,run,079cea5c28431cdfe5ddeea9a258a4c8310d435dd8e519aa36b92eefe57b125a,2026-06-15 12:11:46 +0800,
ex237,output/ex237.aig,1734,14,24276,25440,0.954245,1,ex237_r007_v3_ga_v3_ga_sequence_pex237_r001_v3_ga_v3_ga_s_a1734_d14_adp24276_37b603ca,fp16,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,student/runs/fp16/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/results/best.csv,student/work/ex220_ex239_backend_portfolio_v3-ga_20260614_2316/ex237/artifacts/ex237_r007_v3_ga_v3_ga_sequence_pex237_r001_v3_ga_v3_ga_s_a1734_d14_adp24276_37b603ca.aig,run,37b603cab646890ac4d4ef00ac1789da669842eb65b4314db2c2d30c300f5d8a,2026-06-15 12:11:46 +0800,
