case,domain,agent_id,candidate_id,method_signature,sim_tool,sim_status,tests_run,failures,log_path,notes
ex260,integer,integer-agent,ex260_ex260_signcof_shared_cube_synth_preset_d10,ex260|sign-cofactored_shared_signed_4x4_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|synth_preset_d10|signed_low4_high4_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex260/official_eval/ex260_ex260_signcof_shared_cube_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex266,integer,integer-agent,ex266_ex266_bhi2_a4_shared_cube_wordmux_abc_g_aig,"ex266|smaller_predicates_inside_current_cofactor_word-mux_structure|shared_cube_covers_per_{b[4:3],a[4]}_cofactor|shared_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex266/official_eval/ex266_ex266_bhi2_a4_shared_cube_wordmux_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex266,integer,integer-agent,ex266_ex266_bhi2_a4_shared_cube_wordmux_synth_preset_d10,"ex266|smaller_predicates_inside_current_cofactor_word-mux_structure|shared_cube_covers_per_{b[4:3],a[4]}_cofactor|shared_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex266/official_eval/ex266_ex266_bhi2_a4_shared_cube_wordmux_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex266,integer,integer-agent,ex266_ex266_bhi2_a43_shared_cube_wordmux_abc_g_aig,"ex266|deeper_cofactor_predicate_sharing_inside_quotient_word_mux|shared_cube_covers_per_{b[4:3],a[4:3]}_cofactor|deeper_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex266/official_eval/ex266_ex266_bhi2_a43_shared_cube_wordmux_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex266,integer,integer-agent,ex266_ex266_bhi2_a43_shared_cube_wordmux_synth_preset_d10,"ex266|deeper_cofactor_predicate_sharing_inside_quotient_word_mux|shared_cube_covers_per_{b[4:3],a[4:3]}_cofactor|deeper_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex266/official_eval/ex266_ex266_bhi2_a43_shared_cube_wordmux_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex256,integer,integer-agent,ex256_ex256_low4_highcarry_csa_abc_g_aig,ex256|real_shared_partial-product_and_high-carry_recomposition|low4_product_plus_top-bit_cross_rows_with_explicit_CSA_high_merge|shared_partial-product_rows_and_two-stage_carry-save_high_correction|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex256/official_eval/ex256_ex256_low4_highcarry_csa_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex256,integer,integer-agent,ex256_ex256_low4_highcarry_csa_synth_preset_d18,ex256|real_shared_partial-product_and_high-carry_recomposition|low4_product_plus_top-bit_cross_rows_with_explicit_CSA_high_merge|shared_partial-product_rows_and_two-stage_carry-save_high_correction|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex256/official_eval/ex256_ex256_low4_highcarry_csa_synth_preset_d18/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex256,integer,integer-agent,ex256_ex256_low4_direct_rows_abc_g_aig,ex256|partial-product_high-bit_rows_without_CSA_staging|low4_product_plus_direct_top-bit_cross-row_sum|shared_low_partial_products_and_explicit_top-bit_correction_rows|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex256/official_eval/ex256_ex256_low4_direct_rows_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex256,integer,integer-agent,ex256_ex256_highcof_shared_cube_synth_preset_d18,ex256|truth-guided_high-bit_cofactor_product_predicates|a[4]/b[4]_cofactor_mux_with_shared_local_cube_covers|shared_local_product_predicates_inside_high-bit_cofactors|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex256/official_eval/ex256_ex256_highcof_shared_cube_synth_preset_d18/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex261,integer,integer-agent,ex261_ex261_signcof_shared_cube_abc_g_aig,ex261|sign-cofactored_shared_signed_5x5_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|abc_g_aig|signed_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex261/official_eval/ex261_ex261_signcof_shared_cube_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex261,integer,integer-agent,ex261_ex261_signcof_shared_cube_synth_preset_d13,ex261|sign-cofactored_shared_signed_5x5_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|synth_preset_d13|signed_low5_high5_multiply|full_product_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex261/official_eval/ex261_ex261_signcof_shared_cube_synth_preset_d13/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex270,integer,integer-agent,ex270_ex270_square_counter4x_csel4_abc_g_aig,ex270|square_compressor_row_depth_can_improve_with_4:2_style_counters|triangular_square_columns_with_counter4x_carry-select_merge|shared_square_cross_terms_and_wider_column_counters|abc_g_aig|unsigned_square_x*x|full_square_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex270/official_eval/ex270_ex270_square_counter4x_csel4_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex270,integer,integer-agent,ex270_ex270_square_counter4x_csel4_synth_preset_d18,ex270|square_compressor_row_depth_can_improve_with_4:2_style_counters|triangular_square_columns_with_counter4x_carry-select_merge|shared_square_cross_terms_and_wider_column_counters|synth_preset_d18|unsigned_square_x*x|full_square_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex270/official_eval/ex270_ex270_square_counter4x_csel4_synth_preset_d18/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex270,integer,integer-agent,ex270_ex270_square_msb_split_csel6_abc_g_aig,ex270|MSB_split_may_reduce_square_high-carry_pressure|MSB-cofactored_lower_Wallace_square_with_csel6|shared_lower_square_and_high_correction_rows|abc_g_aig|unsigned_square_x*x|full_square_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex270/official_eval/ex270_ex270_square_msb_split_csel6_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex276,integer,integer-agent,ex276_ex276_prefix4_shared_cube_abc_g_aig,ex276|lower-bit_shared_classifier_below_prefix4_can_replace_local_ge_formulas|prefix4_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex276/official_eval/ex276_ex276_prefix4_shared_cube_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex276,integer,integer-agent,ex276_ex276_prefix4_shared_cube_synth_preset_d10,ex276|lower-bit_shared_classifier_below_prefix4_can_replace_local_ge_formulas|prefix4_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex276/official_eval/ex276_ex276_prefix4_shared_cube_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex276,integer,integer-agent,ex276_ex276_prefix3_shared_cube_synth_preset_d10,ex276|coarser_prefix_decoder_may_reduce_mux_overhead_for_lower_classifier|prefix3_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex276/official_eval/ex276_ex276_prefix3_shared_cube_synth_preset_d10/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex277,integer,integer-agent,ex277_ex277_cof4_shared_cube_abc_g_aig,ex277|cofbdd4_can_be_refined_with_shared_local_decoder_cubes|4-bit_high_cofactor_shared_cube_word_mux|shared_local_cubes_and_one_sqrt_word_mux|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,not_run,not_run,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/official_eval/ex277_ex277_cof4_shared_cube_abc_g_aig/evaluate.py.log,semantic model checked against truth before synthesis; iverilog skipped
ex225,fp16,unary-agent,ex225_log_sparse_residual_low14_hi5_abc_g_aig,,not_run,not_run,,,,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
ex223,fp16,unary-agent,ex223_log_sparse_residual_low14_hi5_abc_g_aig,,not_run,not_run,,,,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
ex224,fp16,unary-agent,ex224_log_sparse_residual_low12_hi6_abc_g_aig,,not_run,not_run,,,,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=12; nested_hi=6; nested_lo=4; hi_groups=1920; dense_entries=30720; sparse_overrides=20072; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; truth-derived decomposition exact by construction"
ex200,bf16,unary-agent,ex200_bf16_sparse_residual_hilo3_abc_g_aig,,not_run,not_run,,,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex204,bf16,unary-agent,ex204_bf16_sparse_residual_hilo3_abc_g_gates,,not_run,not_run,,,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=6551
ex205,bf16,unary-agent,ex205_bf16_sparse_residual_hilo3_abc_g_aig,,not_run,not_run,,,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=5584
ex281,unknown,unknown-gf2-agent,ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex282,unknown,unknown-gf2-agent,ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex282|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex280,unknown,unknown-gf2-agent,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex289,unknown,unknown-gf2-agent,ex289_duality_split2_pairdelta_f10_onehot_group_abc_g_aig,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_pairdelta_symcof|pair_shared_duality_wrapper_and_group_bdd_cofactors|yosys_abc_g_aig|exact_complement_reverse_duality|paired_output_delta_wrapper,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex289,unknown,unknown-gf2-agent,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_group_symcof_resynth|group_bdd_node_sharing_with_existing_xor_wrapper|yosys_abc_g_gates|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex283,unknown,unknown-gf2-agent,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex283|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex284,unknown,unknown-gf2-agent,ex284_gf2_overlap_roots_small_roots_balanced_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex284,unknown,unknown-gf2-agent,ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,generator_python_model,PASS,all_truth_rows,0,,iverilog unavailable; checked exact Python model before synthesis
ex286,unknown,unknown-highgap-agent,ex286_round2_delta_split_outside_in_delta_split_i6_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|anchored_pair_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_pair_delta_routing_key|nested outer routing descriptor table by full word,not_run,not_run,,,,
ex287,unknown,unknown-highgap-agent,ex287_round2_delta_split_outside_in_delta_split_i7_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|anchored_pair_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_pair_delta_routing_key|nested outer routing descriptor table by full word,not_run,not_run,,,,
ex299,unknown,unknown-highgap-agent,ex299_round2_delta_split_outside_in_delta_split_i8_abc_g_aig,ex299|cyclic 2-bit-symbol ring descriptor|anchored_ring_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_ring_delta_key|nested outer ring descriptor table by full word,not_run,not_run,,,,
ex285,unknown,unknown-highgap-agent,ex285_round2_outside_in_root_bdd_abc_g_aig,ex285|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,not_run,not_run,,,,
ex286,unknown,unknown-highgap-agent,ex286_round2_outside_in_root_bdd_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,not_run,not_run,,,,
ex287,unknown,unknown-highgap-agent,ex287_round2_outside_in_root_bdd_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,not_run,not_run,,,,
ex288,unknown,unknown-highgap-agent,ex288_round2_outside_in_root_bdd_abc_g_aig,ex288|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,not_run,not_run,,,,
ex297,unknown,unknown-highgap-agent,ex297_round2_outside_in_root_bdd_abc_g_aig,ex297|cyclic 2-bit-symbol ring descriptor|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_ring_roots|full word root BDD outside-in ring order,not_run,not_run,,,,
ex299,unknown,unknown-highgap-agent,ex299_round2_outside_in_root_bdd_abc_g_aig,ex299|cyclic 2-bit-symbol ring descriptor|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_ring_roots|full word root BDD outside-in ring order,not_run,not_run,,,,
ex294,unknown,unknown-state-agent,ex294_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex294,unknown,unknown-state-agent,ex294_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex292,unknown,unknown-state-agent,ex292_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex292,unknown,unknown-state-agent,ex292_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex295,unknown,unknown-state-agent,ex295_cell_prefix_bridge_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex295,unknown,unknown-state-agent,ex295_cell_rot2_xor_cell_prefix_bridge_residual_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex290,unknown,unknown-state-agent,ex290_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex291,unknown,unknown-state-agent,ex291_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex293,unknown,unknown-state-agent,ex293_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex296,unknown,unknown-state-agent,ex296_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
ex298,unknown,unknown-state-agent,ex298_stride2_prefix_delta_shared_bdd_abc_g_aig,,not_run,not_run,,,,iverilog not found; model-level truth check performed before synthesis
