case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,OK,1,9977,23,229471,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/verilog/ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/eval/ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig/ex295.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 229471,OK,,4.591
ex292,unknown,unknown-large-r26,ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,OK,1,25046,25,626150,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/verilog/ex292_r26_stride2prefix_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/eval/ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig/ex292.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 626150,OK,,14.205
ex292,unknown,unknown-large-r26,ex292_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,OK,1,24241,26,630266,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/verilog/ex292_r26_stride2suffix_adjacent_adjacent_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/eval/ex292_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig/ex292.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 630266,OK,,14.500
ex292,unknown,unknown-large-r26,ex292_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig,ex292|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,OK,1,27435,28,768180,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/verilog/ex292_r26_stride2prefix_xorrotr2_residual_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/eval/ex292_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig/ex292.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig.evaluate.py.log,Total ADP over equivalent cases: 768180,OK,,15.371
ex286,unknown,unknown-sym-r26,ex286_r26_pairfield_shared_bdd,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,2308,21,48468,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/verilog/ex286_r26_pairfield_shared_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/aigs/ex286_r26_pairfield_shared_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/logs/ex286_r26_pairfield_shared_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex286,unknown,unknown-sym-r26,ex286_r26_pairfield_split_bdd,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,2308,21,48468,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/verilog/ex286_r26_pairfield_split_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/aigs/ex286_r26_pairfield_split_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/logs/ex286_r26_pairfield_split_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex287,unknown,unknown-sym-r26,ex287_r26_pairfield_shared_bdd,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,1577,22,34694,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/verilog/ex287_r26_pairfield_shared_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/aigs/ex287_r26_pairfield_shared_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/logs/ex287_r26_pairfield_shared_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex287,unknown,unknown-sym-r26,ex287_r26_pairfield_split_bdd,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,1591,21,33411,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/verilog/ex287_r26_pairfield_split_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/aigs/ex287_r26_pairfield_split_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/logs/ex287_r26_pairfield_split_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex285,unknown,unknown-sym-r26,ex285_r26_pairfield_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,1488,19,28272,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/verilog/ex285_r26_pairfield_shared_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/aigs/ex285_r26_pairfield_shared_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/logs/ex285_r26_pairfield_shared_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex285,unknown,unknown-sym-r26,ex285_r26_pairfield_split_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,1515,18,27270,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/verilog/ex285_r26_pairfield_split_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/aigs/ex285_r26_pairfield_split_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/logs/ex285_r26_pairfield_split_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex288,unknown,unknown-sym-r26,ex288_r26_pairfield_shared_bdd,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,4143,23,95289,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/verilog/ex288_r26_pairfield_shared_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/aigs/ex288_r26_pairfield_shared_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/logs/ex288_r26_pairfield_shared_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex288,unknown,unknown-sym-r26,ex288_r26_pairfield_split_bdd,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,OK,1,4080,23,93840,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/verilog/ex288_r26_pairfield_split_bdd.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/aigs/ex288_r26_pairfield_split_bdd.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/logs/ex288_r26_pairfield_split_bdd.evaluate.py.log,official evaluate.py OK,OK,,
ex240,float_fp8,fp8-r26,ex240_r26_samedelta_diffdirect_abc_g_aig,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|abc_g_aig,OK,1,1131,50,56550,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/verilog/ex240_r26_samedelta_diffdirect_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/aigs/ex240_r26_samedelta_diffdirect_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.881; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_abc_g_aig.yosys.log,OK,,
ex240,float_fp8,fp8-r26,ex240_r26_samedelta_diffdirect_synth_preset_aig,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|synth_preset_aig,OK,1,1078,49,52822,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/verilog/ex240_r26_samedelta_diffdirect_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/aigs/ex240_r26_samedelta_diffdirect_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=2.142; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_synth_preset_aig.yosys.log,OK,,
ex240,float_fp8,fp8-r26,ex240_r26_samegrs_diffgrs_abc_g_aig,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|abc_g_aig,NOT_EQUIV,0,,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/verilog/ex240_r26_samegrs_diffgrs_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/aigs/ex240_r26_samegrs_diffgrs_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.428; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_abc_g_aig.yosys.log,NOT_EQUIV,,
ex240,float_fp8,fp8-r26,ex240_r26_samegrs_diffgrs_synth_preset_aig,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|synth_preset_aig,NOT_EQUIV,0,,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/verilog/ex240_r26_samegrs_diffgrs_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/aigs/ex240_r26_samegrs_diffgrs_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=1.564; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_synth_preset_aig.yosys.log,NOT_EQUIV,,
ex241,float_fp8,fp8-r26,ex241_r26_product_dc_low_abc_g_aig,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|abc_g_aig,OK,1,693,34,23562,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/verilog/ex241_r26_product_dc_low_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/aigs/ex241_r26_product_dc_low_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.189; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_abc_g_aig.yosys.log,OK,,
ex241,float_fp8,fp8-r26,ex241_r26_product_dc_low_synth_preset_aig,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|synth_preset_aig,OK,1,680,33,22440,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/verilog/ex241_r26_product_dc_low_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/aigs/ex241_r26_product_dc_low_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=2.834; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_synth_preset_aig.yosys.log,OK,,
ex241,float_fp8,fp8-r26,ex241_r26_product_bit_exception_abc_g_aig,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|abc_g_aig,OK,1,734,41,30094,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/verilog/ex241_r26_product_bit_exception_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/aigs/ex241_r26_product_bit_exception_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=3.116; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_abc_g_aig.yosys.log,OK,,
ex241,float_fp8,fp8-r26,ex241_r26_product_bit_exception_synth_preset_aig,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|synth_preset_aig,OK,1,703,40,28120,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/verilog/ex241_r26_product_bit_exception_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/aigs/ex241_r26_product_bit_exception_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=3.289; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_synth_preset_aig.yosys.log,OK,,
