case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex292,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,stride2_suffix_delta_descriptor_grouped_bdd,shared stride2_suffix_delta key wires and grouped multi-output BDD roots,,,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/notes/round25_dossier.md
ex292,unknown-large-r26,sparse correction over a shared linear/rotation base,stride2_prefix_delta_xor_rotr2_residual_bdd,shared stride2_prefix_delta key wires plus xor_rotr2 base and grouped residual BDD roots,,,ex292|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,,yosys abc -g aig,unknown,,,RUNNING,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/notes/round25_dossier.md
ex286,unknown-sym-r26,,,component_pairfield_shared_bdd,,,,ex286_r26_pairfield_shared_bdd,,unknown,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex286,unknown-sym-r26,,,component_pairfield_split_bdd,,,,ex286_r26_pairfield_split_bdd,,unknown,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex287,unknown-sym-r26,,,component_pairfield_shared_bdd,,,,ex287_r26_pairfield_shared_bdd,,unknown,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex287,unknown-sym-r26,,,component_pairfield_split_bdd,,,,ex287_r26_pairfield_split_bdd,,unknown,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex285,unknown-sym-r26,,,component_pairfield_shared_bdd,,,,ex285_r26_pairfield_shared_bdd,,unknown,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex285,unknown-sym-r26,,,component_pairfield_split_bdd,,,,ex285_r26_pairfield_split_bdd,,unknown,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex288,unknown-sym-r26,,,component_pairfield_shared_bdd,,,,ex288_r26_pairfield_shared_bdd,,unknown,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex288,unknown-sym-r26,,,component_pairfield_split_bdd,,,,ex288_r26_pairfield_split_bdd,,unknown,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,,,
ex240,fp8-r26,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 1131/50/56550,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.881; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_abc_g_aig.yosys.log,,,float_fp8,,,,
ex240,fp8-r26,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,NOT_EQUIV //,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.428; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_abc_g_aig.yosys.log,,,float_fp8,,,,
ex241,fp8-r26,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 693/34/23562,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.189; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_abc_g_aig.yosys.log,,,float_fp8,,,,
ex241,fp8-r26,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 734/41/30094,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=3.116; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_abc_g_aig.yosys.log,,,float_fp8,,,,
ex242,fp8-r26,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,NOT_EQUIV //,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=0.779; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_abc_g_aig.yosys.log,,,float_fp8,,,,
ex242,fp8-r26,E4M3FN division with formulaic bit exceptions,quotient formula plus bit-level boundary exceptions,"shared divide special shell, exponent delta, numerator/denominator significands, exception predicates",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 1423/25/35575,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.506; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_abc_g_aig.yosys.log,,,float_fp8,,,,
ex244,fp8-r26,E4M3FN hypot with packed threshold delta predicates,small-gap threshold table independent of full max/min magnitude table,"shared abs max/min compare, effective exponent/significand, small-gap delta thresholds, saturation guard",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 292/42/12264,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.794; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_abc_g_aig.yosys.log,,,float_fp8,,,,
ex244,fp8-r26,E4M3FN hypot with max exponent threshold packing,threshold-packed small-gap delta carrying max exponent context,"shared max/min decode, max_eff context, sig/gap threshold rows, saturating add",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 362/42/15204,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.917; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_maxeff_abc_g_aig.yosys.log,,,float_fp8,,,,
ex245,fp8-r26,E5M2FN add with formulaic gap-limited normalizer,formulaic gap4 normalizer instead of direct active table replay,"shared sign/max/min/gap/sig decode, gap bypass, compact same/diff normalizer",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 602/70/42140,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.302; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap4_norm_abc_g_aig.yosys.log,,,float_fp8,,,,
ex245,fp8-r26,E5M2FN add with shared gap class formulas,same/diff gap class formulas with shared field decode,"shared NaN/signed-zero shell, max/min compare, gap and sig class formulas",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 719/34/24446,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.983; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_abc_g_aig.yosys.log,,,float_fp8,,,,
ex246,fp8-r26,E5M2FN multiply with qclass small-pattern residuals,product qclass attributes with 2-bit low-underflow pattern using seed12 unreachable completion,"shared product/effective exponent decode, qclass offset/mantissa, zero/sat/low/linear predicates",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 380/25/9500,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.569; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_abc_g_aig.yosys.log,,,float_fp8,,,,
ex246,fp8-r26,E5M2FN multiply with explicit boundary plus small-pattern residuals,product boundary attributes with seed12 completion and compact low residual pattern,"shared sign/exponent/product decode, explicit zero/saturation boundaries, low-pattern residual",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 346/30/10380,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.738; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_bound_seed12_abc_g_aig.yosys.log,,,float_fp8,,,,
ex247,fp8-r26,E5M2FN division with quotient-class small-pattern residuals,denominator-nested qclass attributes with compact 2-bit low-underflow pattern,"shared division special shell, signed exponent delta, sig_n/sig_d qclass, low residual pattern",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 339/30/10170,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.779; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_abc_g_aig.yosys.log,,,float_fp8,,,,
ex247,fp8-r26,E5M2FN division with numerator-nested boundary residuals,numerator-nested boundary attributes to test alternate decoder depth versus denominator nesting,"shared special shell, exponent delta, numerator-first attr table, zero/sat/low/linear mux",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 376/25/9400,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.815; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_bound_nested_num_abc_g_aig.yosys.log,,,float_fp8,,,,
ex248,fp8-r26,E5M2FN fmod with periodic residue and formulaic normalizer,periodic 2^delta residue plus formulaic normalization,"shared fmod special shell, sig_d modulo residue, delta mod12, normalization predicates",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 286/35/10010,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.773; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_abc_g_aig.yosys.log,,,float_fp8,,,,
ex248,fp8-r26,E5M2FN fmod with nested modular-significand delta table,outer exponent delta with inner modular-significand residue table,"shared fmod shell, effective exponent/significand decode, modulo residue table, nested normalization",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 508/31/15748,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.900; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_modsig_nested_delta_abc_g_aig.yosys.log,,,float_fp8,,,,
ex249,fp8-r26,E5M2FN hypot with handwritten threshold predicates,explicit boolean threshold formulas for gap0/gap1 delta bits,"shared max/min compare, raw exponent/sig decode, gap predicates, saturating max-plus-delta",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 168/36/6048,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.650; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_formula_abc_g_aig.yosys.log,,,float_fp8,,,,
ex249,fp8-r26,E5M2FN hypot with compact threshold case table,compact case table over gap tag and significands,"shared max/min compare, effective exponent/sig decode, two-gap delta case, saturation guard",reduce duplicated FP8 field decode and share special-case/rounding/saturation predicates,OK 177/30/5310,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.624; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_case_abc_g_aig.yosys.log,,,float_fp8,,,,
ex223,mixed-r26,fp16 dense residual blocker,segment hi3..hi6 shape reuse diagnostic,no exact reusable segment shape found without banned table replay,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex223/diagnostics/ex223_round26_dense_metrics.csv,,not_run,fp16,,,,
ex225,mixed-r26,fp16 dense residual blocker,segment hi3..hi6 shape reuse diagnostic,no exact reusable segment shape found without banned table replay,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex225/diagnostics/ex225_round26_dense_metrics.csv,,not_run,fp16,,,,
ex204,mixed-r26,bf16_log2_formula_bit_gateflow,hilo3 arithmetic-base delta with hand formula bits under gate flow,shared exponent base plus formula selected output-bit predicates,,,grouped word output,ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates,abc_g_gates,bf16,,,,
ex218,mixed-r26,bf16_reciprocal_cube_guarded_semantic_gateflow,normal-first guarded reciprocal-cube mantissa LUT,shared odd sign and guarded exponent zone decode,,,semantic fields,ex218_r26_bf16_recip_cube_hand_recip_cube_guard_lut_normal_first_abc_g_gates,abc_g_gates,bf16,,,,
ex218,mixed-r26,bf16_reciprocal_cube_delta_selected_bits_gateflow,mode-hilo4 delta with selected bit8/15 recut,shared delta pair plus selected sign/mantissa predicates,,,grouped word output,ex218_r26_bf16_recip_cube_delta_pair_mode_hilo4_bits_8_15_bh2_abc_g_gates,abc_g_gates,bf16,,,,
ex260,mixed-r26,signed_multiplier_current_source_gateflow,current reverse Baugh-Wooley hCLA4 source under gate-set flow,shared signed partial products and hCLA final merge,,,product word,ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_abc_g_gates,abc_g_gates,integer,,,,
ex260,mixed-r26,signed_multiplier_signbit_outside_order_probe,outside-ordered Baugh-Wooley hCLA1 with sign-bit ordering,shared signed partial products with sign-bit-aware final merge,,,product word,ex260_r26_signed_mul_baugh_wooley_wallace_outside_hcla1_signbit_abc_g_aig,abc_g_aig,integer,,,,
ex266,mixed-r26,unsigned_divider_top1_b2a4_hybrid,top quotient bit uses b2/a4 cofactor while low bits use current shallow word mux,shared quotient-word mux with one deeper top-bit classifier,,,quotient word,ex266_r26_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10,synth_preset_d10,integer,,,,
ex266,mixed-r26,unsigned_divider_blo_selector_probe,bhi2 plus divisor-low and dividend-high cofactor word mux,shared cofactor-local bit-BDDs with magnitude/low-divisor selector,,,quotient word,ex266_r26_int_highgap_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,abc_g_aig,integer,,,,
ex273,mixed-r26,unsigned_square_top4_lower_csel3_recut,top4 BDD replacement with truncated lower carry-select group 3,shared top-bit BDD cofactors plus lower square carry-select merge,,,full square word,ex273_r26_square_frontend_hybrid_bddtop4_trunc_csel3_synth_preset_d32,synth_preset_d32,integer,,,,
ex273,mixed-r26,unsigned_square_outside_wallace_gateflow,outside-ordered Wallace square with carry-select group 4 under gate flow,shared triangular partial products and outside compressor rows,,,full square word,ex273_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates,abc_g_gates,integer,,,,
ex274,mixed-r26,unsigned_square_top2_lower_csel3_recut,top2 BDD replacement with truncated lower carry-select group 3,shared top-bit BDD cofactors plus lower square carry-select merge,,,full square word,ex274_r26_square_frontend_hybrid_bddtop2_trunc_csel3_synth_preset_d40,synth_preset_d40,integer,,,,
ex274,mixed-r26,unsigned_square_outside_wallace_gateflow,outside-ordered Wallace square with carry-select group 4 under gate flow,shared triangular partial products and outside compressor rows,,,full square word,ex274_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates,abc_g_gates,integer,,,,
ex204,mixed-r26,bf16_log2_selected_bit_pla_gateflow,hilo3 arithmetic-base delta with PLA selected-bit predicates,shared exponent base plus PLA-compressed selected output bits,,,grouped word output,ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates,abc_g_gates,bf16,,,,
ex204,mixed-r26,bf16_log2_selected_bit_run_gateflow,hilo3 arithmetic-base delta with run-length selected-bit predicates,shared exponent base plus run-compressed selected output bits,,,grouped word output,ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_runs_abc_g_gates,abc_g_gates,bf16,,,,
ex260,mixed-r26,signed_multiplier_current_source_preset_recut,current reverse Baugh-Wooley hCLA4 source under synth preset d9,shared signed partial products and hCLA final merge,,,product word,ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_synth_preset_d9,synth_preset_d9,integer,,,,
ex266,mixed-r26,unsigned_divider_top1_a43_hybrid,top quotient bit uses a[4:3] deeper cofactor while low bits use current shallow word mux,shared quotient-word mux with one deeper top-bit classifier,,,quotient word,ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10,synth_preset_d10,integer,,,,
ex273,mixed-r26,unsigned_square_top4_outside_order_recut,top4 BDD replacement with outside-ordered lower square terms,shared top-bit BDD cofactors plus outside-ordered lower compressor,,,full square word,ex273_r26_square_frontend_hybrid_bddtop4_order_outside_synth_preset_d32,synth_preset_d32,integer,,,,
ex274,mixed-r26,unsigned_square_top2_trunc_outside_order_recut,top2 truncated BDD replacement with outside-ordered lower square terms,shared top-bit BDD cofactors plus outside-ordered lower compressor,,,full square word,ex274_r26_square_frontend_hybrid_bddtop2_trunc_order_outside_synth_preset_d40,synth_preset_d40,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,113/11/1243,official evaluate.py OK,ex276_r26_prefix4_casebits_all_abc_g_aig,,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,113/11/1243,official evaluate.py OK,ex276_r26_prefix4_casebits_all_wreduce_abc_g_aig,,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,115/11/1265,official evaluate.py OK,ex276_r26_prefix4_casebits_all_synth_preset,,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,114/11/1254,official evaluate.py OK,ex276_r26_prefix4_casebits_global_hi43_abc_g_aig,,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,114/11/1254,official evaluate.py OK,ex276_r26_prefix4_casebits_global_hi43_wreduce_abc_g_aig,,integer,,,,
ex276,coordinator-integer-r26,,,prefix4 hi decode plus per-output low interval predicates,reduce word-mux coupling and expose high-bit constants,112/10/1120,official evaluate.py OK,ex276_r26_prefix4_casebits_global_hi43_synth_preset,,integer,,,,
