case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex224,,mixed-r24,evaluated_no_improvement,ex224_r24_fp16_nested_low12_hi5_abc_g_aig,,,98379,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/logs/ex224_r24_fp16_nested_low12_hi5_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=96224 overall=88800 reference=64708,,,,,,
ex274,,mixed-r24,evaluated_no_improvement,ex274_r24_square_frontend_hybrid_bddtop3_trunc_synth_preset_d16,,,41451,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/logs/ex274_r24_square_frontend_hybrid_bddtop3_trunc_synth_preset_d16.evaluate.py.log,,best official candidate in shard; frontend=41370 overall=25454 reference=21630,,,,,,
ex266,,mixed-r24,evaluated_no_improvement,ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10,,,1628,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/logs/ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10.evaluate.py.log,,best official candidate in shard; frontend=1480 overall=1296 reference=848,,,,,,
ex260,,mixed-r24,evaluated_no_improvement,ex260_r24_signed_mul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,,,1246,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/logs/ex260_r24_signed_mul_baugh_wooley_wallace_center_rhcla3_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=1144 overall=1066 reference=657,,,,,,
ex276,,mixed-r24,evaluated_no_improvement,ex276_r24_int_highgap_isqrt_p4ge_hand_hi_synth_preset_d10,,,1188,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/logs/ex276_r24_int_highgap_isqrt_p4ge_hand_hi_synth_preset_d10.evaluate.py.log,,best official candidate in shard; frontend=1010 overall=900 reference=632,,,,,,
ex204,,mixed-r24,improved_frontend_gap_remains,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,,,24576,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/logs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=25670 overall=21150 reference=15180,,,,,,
ex218,,mixed-r24,evaluated_no_improvement,ex218_r24_bf16_recip_cube_delta_pair_mode_hilo3_bits_14_15_bh3_abc_g_aig,,,7560,,,,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex218/logs/ex218_r24_bf16_recip_cube_delta_pair_mode_hilo3_bits_14_15_bh3_abc_g_aig.evaluate.py.log,,best official candidate in shard; frontend=5941 overall=4120 reference=3222,,,,,,
ex297,unknown,unknown-large-r24,,,31593,18,568674,569592,225900,,,,register improvement and continue with materially new state basis,,7,7,ex297_r24_cell_grouped_symbol_plane_majority_default_abc_g_aig,1,0,EVALUATED_FRONTEND_IMPROVEMENT
ex299,unknown,unknown-large-r24,,,118399,21,2486379,2487261,1013807,,,,register improvement and continue with materially new state basis,,7,7,ex299_r24_cell_grouped_symbol_plane_majority_default_abc_g_aig,1,0,EVALUATED_FRONTEND_IMPROVEMENT
ex294,unknown,unknown-large-r24,,,10835,23,249205,246698,133365,,,,do not repeat these source/synth-flow variants unchanged,,6,6,ex294_r24_current_source_abc_g_aig,0,0,EVALUATED_NO_FRONTEND_IMPROVEMENT
ex295,unknown,unknown-large-r24,,,8218,15,123270,123270,68064,,,,do not repeat these source/synth-flow variants unchanged,,7,7,ex295_r24_cell_grouped_symbol_plane_majority_default_abc_g_aig,0,0,EVALUATED_NO_FRONTEND_IMPROVEMENT
ex292,unknown,unknown-large-r24,,,6759,21,141939,142170,84854,,,,register improvement and continue with materially new state basis,,6,6,ex292_r24_output_grouped_bdd_pools_abc_g_aig,1,0,EVALUATED_FRONTEND_IMPROVEMENT
ex288,unknown,unknown-routing-r24,,,2302,15,34530,31598,16394,,,,record tested direction as nonwinning; continue with a different nonlinear routing state,,5,5,ex288_r24_f10_bits_0_14_1_13_2_12_onehot_global_keybdd_7_abc_g_aig,0,0,no_frontend_best_improvement
ex285,unknown,unknown-routing-r24,,,1047,14,14658,13175,5499,,,,record tested direction as nonwinning; continue with a different nonlinear routing state,,3,3,ex285_r24_f10_bits_0_11_1_10_case_group_keybdd_5_6_abc_g_aig,0,0,no_frontend_best_improvement
ex289,unknown,unknown-routing-r24,,,1280,22,28160,19893,13620,,,,record tested direction as nonwinning; continue with a different nonlinear routing state,,3,3,ex289_r24_split2_f10_bits_0_1_12_13_onehot_group_xor_keybdd_7_abc_g_aig,0,0,no_frontend_best_improvement
