round,run_id,agent_id,case,domain,candidate_id,log_path,simulation_pass,notes,simulator,status,simulation_status
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex225,,ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig,,,official evaluate.py used for final equivalence; no RTL debug mismatch required iverilog,iverilog,not_run,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d13,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_synth_preset_d10,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_abc_g_aig,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_synth_preset_d10,,not_run,official evaluate.py used; no iverilog debug needed,,,
,,,ex297,,ex297_r75_pairsel_uncond_sel2_midcluster,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex297,,ex297_r75_pairsel_uncond_sel2_dualcluster,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex299,,ex299_r75_sel2_uncond_pairsel_tailcluster,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex299,,ex299_r75_sel2_uncond_pairsel_lowtail,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex285,,ex285_r75_tree_symcof_edge_routebits,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex285,,ex285_r75_tree_delta_lane_bits,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex288,,ex288_r75_keybdd_delta_lane_bits,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
,,,ex288,,ex288_r75_keybdd_symcof_edge_bits,,,iverilog skipped; official evaluate.py used for acceptance,,,not_run
