case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex286,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_shared_bdd.evaluate.py.log,official evaluate.py OK; directed_move_width=26; bdd_nodes=2155; order=0:12:1:11:2:10:3:9:4:8:5:7:6,directed_drop_fill_move_shared_bdd,official evaluate.py OK but no frontend improvement
ex286,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_split_bdd.evaluate.py.log,official evaluate.py OK; drop_nodes=1175; fill_nodes=1188; total_nodes=2363; order=0:12:1:11:2:10:3:9:4:8:5:7:6,directed_drop_fill_move_split_bdd,official evaluate.py OK but no frontend improvement
ex287,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_shared_bdd.evaluate.py.log,official evaluate.py OK; directed_move_width=28; bdd_nodes=3171; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,directed_drop_fill_move_shared_bdd,official evaluate.py OK but no frontend improvement
ex287,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_split_bdd.evaluate.py.log,official evaluate.py OK; drop_nodes=1744; fill_nodes=1736; total_nodes=3480; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,directed_drop_fill_move_split_bdd,official evaluate.py OK but no frontend improvement
ex288,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_shared_bdd.evaluate.py.log,official evaluate.py OK; directed_move_width=30; bdd_nodes=4599; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7,directed_drop_fill_move_shared_bdd,official evaluate.py OK but no frontend improvement
ex288,unknown,unknown-worst-r27,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_split_bdd.evaluate.py.log,official evaluate.py OK; drop_nodes=2511; fill_nodes=2505; total_nodes=5016; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7,directed_drop_fill_move_split_bdd,official evaluate.py OK but no frontend improvement
ex247,float_fp8,fp8-a-r27,E5M2FN packed low-over-high division,"ex247|E5M2FN packed low-over-high division|direct exact magnitude table over exponent-delta and significand pair|shared sign/special decode, effective exponent delta, numerator/denominator significands; one direct magnitude function|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|delta_sigpair_flat_magnitude",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex247/logs/ex247_r27_delta_pair_flatmag_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex247/logs/ex247_r27_delta_pair_flatmag_synth_preset_aig.yosys.log,direct exact magnitude table over exponent-delta and significand pair,official evaluate.py OK but ADP did not beat current frontend best
ex247,float_fp8,fp8-a-r27,E5M2FN packed low-over-high division,"ex247|E5M2FN packed low-over-high division|denominator-nested exact magnitude table over exponent-delta and numerator significand|shared sign/special decode, effective exponent delta, denominator outer cofactor, numerator local magnitude rows|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|denominator_delta_numerator_magnitude",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex247/logs/ex247_r27_delta_den_nested_mag_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex247/logs/ex247_r27_delta_den_nested_mag_synth_preset_aig.yosys.log,denominator-nested exact magnitude table over exponent-delta and numerator significand,official evaluate.py OK but ADP did not beat current frontend best
ex246,float_fp8,fp8-a-r27,E5M2FN packed multiply,"ex246|E5M2FN packed multiply|direct exact result magnitude table over exponent sum and reachable significand product|shared sign/special decode, effective exponent sum, 3x3 significand product, one direct magnitude function|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_product_flat_magnitude",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex246/logs/ex246_r27_product_exp_flatmag_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex246/logs/ex246_r27_product_exp_flatmag_synth_preset_aig.yosys.log,direct exact result magnitude table over exponent sum and reachable significand product,official evaluate.py OK but ADP did not beat current frontend best
ex246,float_fp8,fp8-a-r27,E5M2FN packed multiply,"ex246|E5M2FN packed multiply|exponent-sum outer exact result magnitude table over reachable significand products|shared sign/special decode, exponent-sum cofactor, product local rows; no seed12/qclass completion|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_outer_product_magnitude",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex246/logs/ex246_r27_product_exp_nested_mag_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex246/logs/ex246_r27_product_exp_nested_mag_synth_preset_aig.yosys.log,exponent-sum outer exact result magnitude table over reachable significand products,official evaluate.py OK but ADP did not beat current frontend best
ex244,float_fp8,fp8-a-r27,"E4M3FN packed hypot(abs(high), abs(low))","ex244|E4M3FN packed hypot(abs(high), abs(low))|direct nonzero delta case table over max effective exponent, exponent gap, max significand, min significand|shared signless abs max/min decode, effective exponent/significand decode, max-plus-delta saturating reassembly|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_gap_sig_delta_case",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex244/logs/ex244_r27_maxeff_gap_sig_direct_delta_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex244/logs/ex244_r27_maxeff_gap_sig_direct_delta_synth_preset_aig.yosys.log,"direct nonzero delta case table over max effective exponent, exponent gap, max significand, min significand",official evaluate.py OK but ADP did not beat current frontend best
ex244,float_fp8,fp8-a-r27,"E4M3FN packed hypot(abs(high), abs(low))","ex244|E4M3FN packed hypot(abs(high), abs(low))|bitwise OR-of-cubes delta predicates over max effective exponent, gap, max significand, min significand|shared abs max/min and one key feeding independent delta-bit predicates before max-plus-delta reassembly|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_gap_sig_delta_bitplanes",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex244/logs/ex244_r27_maxeff_gap_sig_delta_bitor_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex244/logs/ex244_r27_maxeff_gap_sig_delta_bitor_synth_preset_aig.yosys.log,"bitwise OR-of-cubes delta predicates over max effective exponent, gap, max significand, min significand",official evaluate.py OK but ADP did not beat current frontend best
ex240,float_fp8,fp8-a-r27,E4M3FN packed add high byte plus low byte,"ex240|E4M3FN packed add high byte plus low byte|field-key exact override table on max-magnitude passthrough defaults|shared sign relation, sorted magnitude, effective exponent/significand gap decode, same/diff default magnitude path|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_add_high_plus_low|same_gap_sig_field_override_flat",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex240/logs/ex240_r27_field_override_flat_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex240/logs/ex240_r27_field_override_flat_synth_preset_aig.yosys.log,field-key exact override table on max-magnitude passthrough defaults,official evaluate.py OK but ADP did not beat current frontend best
ex240,float_fp8,fp8-a-r27,E4M3FN packed add high byte plus low byte,"ex240|E4M3FN packed add high byte plus low byte|gap-outer exact override table on max-magnitude passthrough defaults|shared sign relation, sorted field decode, same/diff plus exponent-gap outer cofactor, local sig override rows|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_add_high_plus_low|same_gap_outer_sig_override",equivalent_but_no_frontend_gain,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex240/logs/ex240_r27_field_override_gap_outer_synth_preset_aig.evaluate.py.log,synth_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-a-r27/ex240/logs/ex240_r27_field_override_gap_outer_synth_preset_aig.yosys.log,gap-outer exact override table on max-magnitude passthrough defaults,official evaluate.py OK but ADP did not beat current frontend best
ex249,float_fp8,fp8-b-r27,"E5M2FN packed hypot abs(high,low)","ex249|E5M2FN packed hypot abs(high,low)|raw-exp gap0/gap1 selected small-delta adder|shared max/min raw exponent decode and delta predicates with explicit small-delta add function|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|selected_bit_small_delta|fp8_b_r27",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_smalladd_delta_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.694; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_smalladd_delta_abc_g_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex249,float_fp8,fp8-b-r27,"E5M2FN packed hypot abs(high,low)","ex249|E5M2FN packed hypot abs(high,low)|raw-exp gap0/gap1 selected small-delta adder|shared max/min raw exponent decode and delta predicates with explicit small-delta add function|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|selected_bit_small_delta|fp8_b_r27",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_smalladd_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.806; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_smalladd_delta_synth_preset_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex249,float_fp8,fp8-b-r27,"E5M2FN packed hypot abs(high,low)","ex249|E5M2FN packed hypot abs(high,low)|direct delta1/delta2 bit predicates instead of delta table|shared smax onehot and smin threshold predicates feeding selected-bit correction|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|delta_bit_predicates|fp8_b_r27",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_split_bits_delta_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.668; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_split_bits_delta_abc_g_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex249,float_fp8,fp8-b-r27,"E5M2FN packed hypot abs(high,low)","ex249|E5M2FN packed hypot abs(high,low)|direct delta1/delta2 bit predicates instead of delta table|shared smax onehot and smin threshold predicates feeding selected-bit correction|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|delta_bit_predicates|fp8_b_r27",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_split_bits_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.842; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_split_bits_delta_synth_preset_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex248,float_fp8,fp8-b-r27,E5M2FN packed fmod low mod high,ex248|E5M2FN packed fmod low mod high|periodic residue with normalizer cofactored by denominator exponent|shared divisor-period residue; normalizer grouped by eff then remainder|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|eff_cofactored_norm|fp8_b_r27,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_norm_by_eff_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.751; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_norm_by_eff_abc_g_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex248,float_fp8,fp8-b-r27,E5M2FN packed fmod low mod high,ex248|E5M2FN packed fmod low mod high|periodic residue with normalizer cofactored by denominator exponent|shared divisor-period residue; normalizer grouped by eff then remainder|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|eff_cofactored_norm|fp8_b_r27,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_norm_by_eff_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.826; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_norm_by_eff_synth_preset_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex248,float_fp8,fp8-b-r27,E5M2FN packed fmod low mod high,ex248|E5M2FN packed fmod low mod high|periodic residue with kept normalizer boundary|shared divisor-period residue and kept normalization cofactor function|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|kept_norm_cofactor|fp8_b_r27,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_split_norm_bits_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.806; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_split_norm_bits_abc_g_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex248,float_fp8,fp8-b-r27,E5M2FN packed fmod low mod high,ex248|E5M2FN packed fmod low mod high|periodic residue with kept normalizer boundary|shared divisor-period residue and kept normalization cofactor function|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|kept_norm_cofactor|fp8_b_r27,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_split_norm_bits_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.795; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_split_norm_bits_synth_preset_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,"ex241|E4M3FN packed multiply|output bitplane tables over exponent-sum/product|shared sign xor, effective exponent sum and product, per-bit cofactored output functions|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|product_exp_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_bitplane_product_exp_abc_g_aig.evaluate.py.log,SYNTH_OR_EVAL_FAIL SynthError: Yosys failed with exit code 1,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,"ex241|E4M3FN packed multiply|output bitplane tables over exponent-sum/product|shared sign xor, effective exponent sum and product, per-bit cofactored output functions|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|product_exp_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_bitplane_product_exp_synth_preset_aig.evaluate.py.log,SYNTH_OR_EVAL_FAIL SynthError: Yosys failed with exit code 1,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,ex241|E4M3FN packed multiply|product-major table over exponent sum|shared product decode with product-major exp-sum residual table|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|product_major_exp_residual|fp8_b_r27,NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_product_cofactored_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.074; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_product_cofactored_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,ex241|E4M3FN packed multiply|product-major table over exponent sum|shared product decode with product-major exp-sum residual table|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|product_major_exp_residual|fp8_b_r27,NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_product_cofactored_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=1.292; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_product_cofactored_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
