case,agent_id,candidate_id,method_signature,drop_reason,equivalent,adp,verilog_path,aig_path,evaluate_log,notes
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_gates,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_gates|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,62968,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_gates.aig,,Yosys abc gate set gates
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d20,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d20|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d20.aig,,Yosys abc delay target 20
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d21,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d21|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d21.aig,,Yosys abc delay target 21
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d22,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d22|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d22.aig,,Yosys abc delay target 22
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d24,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d24|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_d24.aig,,Yosys abc delay target 24
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_default_recheck,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_default_recheck|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_default_recheck.aig,,current project Yosys script sanity recheck
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_extra_opt_share,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_extra_opt_share|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_extra_opt_share.aig,,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_late_flatten,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_late_flatten|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63189,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_late_flatten.aig,,move flatten after techmap
ex200,bf16-agent,ex200_semantic_exp_default_one_casez_all_special_abc_g_gates,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_abc_g_gates|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63563,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_casez_all_special_abc_g_gates.aig,,Yosys abc gate set gates
ex200,bf16-agent,ex200_bf16_exp_semantic_exp_default_one_casez_all_special,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_default_abc_and|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,63682,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.aig,,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez all-special items=3863; exact over 65536 inputs
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_cmos2,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_cmos2|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,64056,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_cmos2.aig,,Yosys abc gate set cmos2
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_and_mux,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_and_mux|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,64872,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_and_mux.aig,,"Yosys abc gate set AND,MUX"
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_simple,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_simple|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,69138,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_simple.aig,,Yosys abc gate set simple
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_fast,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_fast|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,94880,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_fast.aig,,Yosys abc fast script
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_no_internal_abc,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_no_internal_abc|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,107800,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_no_internal_abc.aig,,skip Yosys internal abc pass
ex200,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset_noabc,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_synth_preset_noabc|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,invalid_or_incomplete,1,110242,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset_noabc.aig,,Yosys synth preset without abc
ex200,bf16-agent,ex200_bf16_exp_semantic_exp_field_split,ex200|bf16_exp_unary_semantic_shell|separate_output_fields|shared special-case decode plus direct mantissa LUT|yosys_default_abc_and|DAZ+exp+BF16_RNE+FTZ|separate sign exponent mantissa outputs,invalid_or_incomplete,0,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_field_split.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_bf16_exp_semantic_exp_field_split.aig,,"SynthError: Yosys failed with exit code 1:
/----------------------------------------------------------------------------\
 |  yosys -- Yosys Open SYnthesis Suite                                       |
 |  Copyright (C) 2012 - 2026  Claire Xenia Wolf <claire@yosyshq.com>         |
 |  Distributed un"
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,25687,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig.aig,,Yosys abc gate set aig
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig.aig,,Yosys abc gate set aig
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d14,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d14|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d14.aig,,Yosys abc gate set aig delay target 14
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d15,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d15|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d15.aig,,Yosys abc gate set aig delay target 15
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d16,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d16|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d16.aig,,Yosys abc gate set aig delay target 16
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d17,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d17|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d17.aig,,Yosys abc gate set aig delay target 17
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d18,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d18|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d18.aig,,Yosys abc gate set aig delay target 18
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d19,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d19|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d19.aig,,Yosys abc gate set aig delay target 19
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d20,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d20|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d20.aig,,Yosys abc gate set aig delay target 20
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d21,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig_d21|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26129,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_aig_d21.aig,,Yosys abc gate set aig delay target 21
ex204,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_d20,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_d20|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,invalid_or_incomplete,1,26265,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/verilog/ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_d20.aig,,Yosys abc delay target 20
