case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex242,float_fp8,E4M3FN packed low-over-high division,ex242|E4M3FN packed division|round22 remain diagnostic no candidate|prior clean-sparse and quotient-formula evidence|no_synth|exact_e4m3fn_div_low_over_high|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; clean sparse, quotient formula, delta table, bit exception, BDD, and broad field-table routes are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex242/notes/round22_ex242_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex242/notes/round22_ex242_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 1266/20/25320, compact formula 1028/25/25700, and bit exception overlay 1328/25/33200."
ex244,float_fp8,E4M3FN packed hypot max-plus-delta max-eff BDD,ex244|E4M3FN packed hypot|round22 max-eff delta BDD replay|shared abs max/min decode max_eff gap sig4 and delta BDD bits|yosys_synth_flatten_abc_g_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_outputs,LOW_VALUE_EQUIVALENT,"Official evaluate.py equivalent, but ADP 10234 only ties current frontend and remains above reference 4272.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex244/aigs/ex244_r22_maxeff_delta_bdd_replay.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex244/logs/ex244_r22_maxeff_delta_bdd_replay.official_evaluate.log,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Do not repeat max-eff BDD replay or small-gap gating; future work needs a shallower delta-bit form or critical-path reduction.
ex245,float_fp8,E5M2FN packed add,ex245|E5M2FN packed add|round22 remain diagnostic no candidate|prior small-gap and threshold evidence|no_synth|exact_e5m2fn_add_high_plus_low|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; small-gap class formula, threshold quantizer, local normalizer, split BDD, and decoded arithmetic routes are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex245/notes/round22_ex245_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex245/notes/round22_ex245_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 701/34/23834, round9 threshold 2652/192/509184, local normalizer 48456, and split BDD 41125."
ex246,float_fp8,E5M2FN packed multiply product-class seed12 completion,ex246|E5M2FN packed multiply|round22 product-class seed12 replay|shared sign xor exponent sum significand product and product_mag class decode|yosys_synth_flatten_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|product_class_magnitude_outputs,LOW_VALUE_EQUIVALENT,"Official evaluate.py equivalent, but ADP 7502 only ties current frontend and remains above reference 2805.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex246/aigs/ex246_r22_product_seed12_replay.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex246/logs/ex246_r22_product_seed12_replay.official_evaluate.log,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Do not repeat product-code completion or source-identical seed12 replay; future work needs a new arithmetic encoding or lower-area delay-21/22 representation.
ex247,float_fp8,E5M2FN packed low-over-high division with boundary-region mux,ex247|E5M2FN packed low-over-high division|round22 copied boundary-region mux with share+dual-abc synth|shared sign/exponent/significand decode and denominator boundary predicates|yosys_share_abc_g_aig_then_abc_g_AND_official_evaluate|exact_e5m2fn_div_low_over_high|region_mux_outputs,LOW_VALUE_EQUIVALENT,"Official evaluate.py equivalent, but ADP 8349 only ties current frontend and remains above reference 2975.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex247/aigs/ex247_r22_bound_region_mux_share2.aig,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-r22/ex247/logs/ex247_r22_bound_region_mux_share2.official_evaluate.log,float-fp8-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Do not repeat source-identical boundary-region synth-flow variants unless the source-level region/predicate structure changes.
ex248,float_fp8,E5M2FN packed fmod,ex248|E5M2FN packed fmod|round22 remain diagnostic no candidate|prior periodic-rem and shifted-mod evidence|no_synth|exact_e5m2fn_fmod_low_by_high|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; periodic remainder, shifted modulo, delta-major table, formula normalizer, and no-ABC flow are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex248/notes/round22_ex248_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex248/notes/round22_ex248_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 285/30/8550, delta-major table 476/32/15232, shifted modulo 352512, and r19 no-ABC 410/44/18040."
ex249,float_fp8,E5M2FN packed hypot,ex249|E5M2FN packed hypot|round22 remain diagnostic no candidate|prior raw-exp threshold and grouped-delta evidence|no_synth|exact_e5m2fn_hypot_abs_high_low|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; raw-exp threshold, grouped delta bits, no-ABC active-gap, and max-delta BDD variants are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex249/notes/round22_ex249_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex249/notes/round22_ex249_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 168/26/4368, r16 grouped delta 184/28/5152, and r19 no-ABC 307/40/12280."
ex253,float_fp8,unsigned 2-bit lane reduction to E4M3FN,ex253|unsigned 2-bit lane reduction to E4M3FN|round22 remain diagnostic no candidate|prior popcount-qcase and threshold evidence|no_synth|exact_u2_sum8_times2_to_e4m3fn|blocker,LOW_VALUE_REPLAY_AVOIDED,"No materially different Verilog candidate was defensible; weighted popcount qcase, balanced sum, direct 2D table, bit formulas, and threshold-field quantizers are already official low-value evidence.",student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex253/notes/round22_ex253_blocker.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/float-fp8-remain-r22/ex253/notes/round22_ex253_blocker.md,float-fp8-remain-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Prior official evidence includes current frontend 126/18/2268, balanced lane sum 126/20/2520, direct 2D table 193/17 worse ADP, and round12 threshold 193/21/4053."
ex256,integer,5x5 unsigned multiply shared compressor/final carry,ex256|blocked_prior_wallace_dadda_4to2_cla_carry_predicate_exhausted|no_synth|unsigned_low5_high5_multiply|full_product_word,BLOCKED_NO_CANDIDATE,queued Dadda/Wallace controlled-final-adder direction is not materially new versus prior official and diagnostic attempts,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex256/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex256/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,No success claimed; no evaluate.py row because no candidate was generated.; next_action=need a new shared compressor/carry factoring over final two-row representation before RTL generation
ex260,integer,signed 4x4 multiply shallow shared compressor search,ex260|blocked_no_materially_different_allowed_structure|prior_baugh_booth_signcase_bdd_correction_sum_exhausted|no_synth|signed_low4_high4_multiply|product_word,BLOCKED_NO_CANDIDATE,no defensible materially different frontend candidate after read-first review; unchanged Baugh/Booth/hCLA/BDD/correction-sum families already have official low-value evidence,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex260/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex260/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,No success claimed; no evaluate.py row because no candidate was generated.; next_action=need a genuinely new shared signed 4x4 compressor/final-carry description before RTL generation
ex261,integer,signed 5x5 compressor rows,ex261|blocked_prior_baugh_booth_dadda_hcla_cube_evidence|no_synth|signed_low5_high5_multiply|product_word,BLOCKED_NO_CANDIDATE,queued signed Baugh-Wooley or Booth compressor row family is already the current best family or official nonwinning prior space,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex261/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex261/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,No success claimed; no evaluate.py row because no candidate was generated.; next_action=need a materially new signed 5x5 compressor or sign-correction factoring before RTL generation
ex266,integer,quotient classifier/trial subtract follow-up,ex266|blocked_prior_threshold_trialsubtract_wordmux_evidence|no_synth|unsigned_low5_high5_div_dbz_sat|quotient_word,BLOCKED_NO_CANDIDATE,next quotient-threshold and trial-subtract families already have official nonwinning evidence and would be unchanged replay,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex266/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex266/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Round16 threshold wordmux 331/20/6620; round18 trial-borrow prefix 96/31/2976; round19 one-hot wordmux 217/18/3906.; next_action=derive a genuinely smaller cofactor-local quotient predicate before generating RTL
ex270,integer,square compressor/final carry,ex270|blocked_prior_triangular_wallace_dadda_bdd_fullrow_evidence|no_synth|unsigned_8_square|full_square_word,BLOCKED_NO_CANDIDATE,queued square-specific Dadda/final-carry direction has official nonwinning evidence and no new carry-sharing description,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex270/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex270/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Round16 Dadda/csel4 198/22/4356; selected BDD 353/15/5295; broad full-row/half-product families worse.; next_action=derive a genuinely shallower square-column compressor or final-carry factoring before RTL generation
ex276,integer,restoring sqrt prefix/residual classifier,ex276|blocked_prior_prefix_candidate_square_radix_threshold_evidence|no_synth|floor_isqrt_10_to_5|sqrt_word,BLOCKED_NO_CANDIDATE,queued hybrid restoring-sqrt prefix/residual-comparator family is already covered by official nonwinning candidate-square prefix radix and threshold probes,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex276/dossier.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/integer-r22/ex276/dossier.md,integer-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,Official rows include candidate-square 86/24/2064; prefix5 case 136/11/1496; radix4 93/17/1581; balanced prefix4 replay 190/19/3610.; next_action=derive a new shared lower-bit classifier that preserves prefix4 sharing before RTL generation
ex280,unknown,quartic_gf2_event_filter,ex280|quartic_gf2_event_filter|raw_low_degree_anf_and_simple_equivariance_screen|shared_monomial_bank_or_rotation_recurrence|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 2142 terms, and the best simple equivariance covers only 359/4096 rows. No new source distinct from the prior shared quadratic compressor is defensible yet.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex280/diagnostics/ex280_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex280/diagnostics/ex280_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 2142 terms, and the best simple equivariance covers only 359/4096 rows. No new source distinct from the prior shared quadratic compressor is defensible yet."
ex281,unknown,quartic_gf2_event_filter,ex281|quartic_gf2_event_filter|raw_low_degree_anf_and_simple_equivariance_screen|shared_monomial_bank_or_rotation_recurrence|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 3339 terms, and the best simple equivariance covers only 136/8192 rows. No new source distinct from the prior shared quadratic compressor is defensible yet.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex281/diagnostics/ex281_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex281/diagnostics/ex281_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 3339 terms, and the best simple equivariance covers only 136/8192 rows. No new source distinct from the prior shared quadratic compressor is defensible yet."
ex282,unknown,quartic_gf2_event_filter,ex282|quartic_gf2_event_filter|raw_low_degree_anf_and_simple_equivariance_screen|shared_monomial_bank_or_rotation_recurrence|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 4266 terms, and the best simple equivariance covers only 1248/16384 rows. No new source distinct from the prior shared quadratic compressor is defensible yet.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex282/diagnostics/ex282_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex282/diagnostics/ex282_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 4266 terms, and the best simple equivariance covers only 1248/16384 rows. No new source distinct from the prior shared quadratic compressor is defensible yet."
ex283,unknown,quartic_gf2_event_filter,ex283|quartic_gf2_event_filter|raw_low_degree_anf_and_simple_equivariance_screen|shared_monomial_bank_or_rotation_recurrence|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 6293 terms, and the best simple equivariance covers only 342/32768 rows. No new source distinct from the prior shared quadratic compressor is defensible yet.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex283/diagnostics/ex283_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex283/diagnostics/ex283_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 6293 terms, and the best simple equivariance covers only 342/32768 rows. No new source distinct from the prior shared quadratic compressor is defensible yet."
ex284,unknown,quartic_gf2_event_filter,ex284|quartic_gf2_event_filter|raw_low_degree_anf_and_simple_equivariance_screen|shared_monomial_bank_or_rotation_recurrence|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 7732 terms, and the best simple equivariance covers only 4642/65536 rows. No new source distinct from the prior shared quadratic compressor is defensible yet.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex284/diagnostics/ex284_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex284/diagnostics/ex284_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: raw/shared low-degree ANF monomial bank and simple rotation/reverse structural equivariance. The raw ANF remains degree 4 with 7732 terms, and the best simple equivariance covers only 4642/65536 rows. No new source distinct from the prior shared quadratic compressor is defensible yet."
ex285,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|compact_pair_state_and_lane_count_descriptor_screen|shared_pair_descriptors_and_lane_count_state|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 2304 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 1079/4096 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex285/diagnostics/ex285_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex285/diagnostics/ex285_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 2304 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 1079/4096 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat."
ex286,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|compact_pair_state_and_lane_count_descriptor_screen|shared_pair_descriptors_and_lane_count_state|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 4608 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 1217/8192 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex286/diagnostics/ex286_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex286/diagnostics/ex286_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 4608 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 1217/8192 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat."
ex287,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|compact_pair_state_and_lane_count_descriptor_screen|shared_pair_descriptors_and_lane_count_state|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 6912 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 2213/16384 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex287/diagnostics/ex287_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex287/diagnostics/ex287_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 6912 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 2213/16384 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat."
