case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path,high_level_decision,shared_state,normalization_or_action,output_decode,avoids_prior_signature,shared_terms,independent_adp,shared_adp,delta_adp,area_delta,delay_delta
ex249,description_decision,REFINE E5M2FN hypot abs high low; operation is known and weakness is active gap delta and saturation depth,shared raw exponent max/min; gap0/gap1 predicates; small delta increment; saturation guard,full_word,high,pending,ex249|description_decision|refine_current_semantics|pre_rtl,sub-fp8-addhypot-redesc-r75,avoid ratio formulas squared-ratio cases whole BDD and split-increment tail replay,hypot,rawexp_gap_delta_threshold,description_recorded,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E5M2FN packed hypot,description_refine,ratio_formula;squared_ratio;split_delta_pred;inc_mux_delta_pred,pending,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/notes/high_level_description.md,,,,,,,,,,,
ex240,ex240_ex240_r75_final_packed_mux_repo_yosys,E4M3FN packed add high byte plus low byte,replace helper final sign/mag selectors and split assigns with one packed output mux,full_word,medium,645/45/29025,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_final_packed_mux|replace_helper_final_sign_mag_selectors_and_split_assigns_with_one_packed_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,add,replace helper final sign/mag selectors and split assigns with one packed output mux,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E4M3FN packed add high byte plus low byte,ex240_r75_final_packed_mux,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_final_packed_mux_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex240,ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,E4M3FN packed add high byte plus low byte,case-decode diff alignment action plus packed final sign/mag mux,full_word,medium,684/42/28728,ex240|E4M3FN packed add high byte plus low byte|ex240_r75_diff_gapcase_final_mux|case_decode_diff_alignment_action_plus_packed_final_sign_mag_mux|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,add,case-decode diff alignment action plus packed final sign/mag mux,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E4M3FN packed add high byte plus low byte,ex240_r75_diff_gapcase_final_mux,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex240/logs/ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex244,ex244_ex244_r75_valid_delta_bits_repo_yosys,"E4M3FN packed hypot abs(high,low)",gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,full_word,medium,326/38/12388,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_valid_delta_bits|gate_individual_max_plus_delta_bits_with_the_small_gap_predicate_after_the_exact_delta_bdd|repo_yosys_frontend_default|official_evaluate|full_word",sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,hypot,gate individual max-plus-delta bits with the small-gap predicate after the exact delta BDD,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,"E4M3FN packed hypot abs(high,low)",ex244_r75_valid_delta_bits,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex244,ex244_ex244_r75_field_valid_delta_bits_repo_yosys,"E4M3FN packed hypot abs(high,low)",field-level max/min decode plus individual valid-gated delta bits,full_word,medium,328/35/11480,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_field_valid_delta_bits|field_level_max_min_decode_plus_individual_valid_gated_delta_bits|repo_yosys_frontend_default|official_evaluate|full_word",sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,hypot,field-level max/min decode plus individual valid-gated delta bits,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,"E4M3FN packed hypot abs(high,low)",ex244_r75_field_valid_delta_bits,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_field_valid_delta_bits_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex245,ex245_ex245_r75_field_active_mux_repo_yosys,E5M2FN packed add high byte plus low byte,direct E5 field compare/decode plus active same/diff table gating before output mux,full_word,medium,741/31/22971,ex245|E5M2FN packed add high byte plus low byte|ex245_r75_field_active_mux|direct_e5_field_compare_decode_plus_active_same_diff_table_gating_before_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,add,direct E5 field compare/decode plus active same/diff table gating before output mux,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E5M2FN packed add high byte plus low byte,ex245_r75_field_active_mux,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_active_mux_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex245,ex245_ex245_r75_field_keyed_tables_repo_yosys,E5M2FN packed add high byte plus low byte,direct E5 field compare/decode plus inactive-key suppression for same/diff tables,full_word,medium,756/36/27216,ex245|E5M2FN packed add high byte plus low byte|ex245_r75_field_keyed_tables|direct_e5_field_compare_decode_plus_inactive_key_suppression_for_same_diff_tables|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,add,direct E5 field compare/decode plus inactive-key suppression for same/diff tables,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,E5M2FN packed add high byte plus low byte,ex245_r75_field_keyed_tables,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_keyed_tables_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex249,ex249_ex249_r75_active_key_delta_case_repo_yosys,"E5M2FN packed hypot abs(high,low)",active-gap key gating before the original 2-bit delta case and shared saturation guard,full_word,medium,208/37/7696,"ex249|E5M2FN packed hypot abs(high,low)|ex249_r75_active_key_delta_case|active_gap_key_gating_before_the_original_2_bit_delta_case_and_shared_saturation_guard|repo_yosys_frontend_default|official_evaluate|full_word",sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,hypot,active-gap key gating before the original 2-bit delta case and shared saturation guard,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,"E5M2FN packed hypot abs(high,low)",ex249_r75_active_key_delta_case,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_delta_case_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex249,ex249_ex249_r75_active_key_split_pred_repo_yosys,"E5M2FN packed hypot abs(high,low)",active-gap key gating feeding split inc1/inc2 predicate tables and shared saturation guard,full_word,medium,205/36/7380,"ex249|E5M2FN packed hypot abs(high,low)|ex249_r75_active_key_split_pred|active_gap_key_gating_feeding_split_inc1_inc2_predicate_tables_and_shared_saturation_guard|repo_yosys_frontend_default|official_evaluate|full_word",sub-fp8-addhypot-redesc-r75,round75 bounded source-only candidate,hypot,active-gap key gating feeding split inc1/inc2 predicate tables and shared saturation guard,equivalent,agent_shards/sub-fp8-addhypot-redesc-r75/shared_structure_report.csv,float_fp8,"E5M2FN packed hypot abs(high,low)",ex249_r75_active_key_split_pred,round73 low-cluster/classifier; round74 replay variants,official_ok,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_split_pred_repo_yosys.evaluate.py.log,,,,,,,,,,,
ex241,ex241_r75_product_class_step_patch,,,,,,,sub-fp8-muldiv-redesc-r75,source-only Verilog candidate,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/shared_structure_report.csv,,,,,,,keep/refine E4M3FN multiply,"sign xor, exp_sum, sig4 product",per-product zero/sat/linear region with exact patch table,single product_mag function,material source change from full tables/product-zero/region-action/replay,,,,,,
ex246,ex246_r75_pprod_class_step_patch,,,,,,,sub-fp8-muldiv-redesc-r75,source-only Verilog candidate,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/shared_structure_report.csv,,,,,,,keep/refine E5M2FN multiply,"sign xor, exp_sum, explicit sig3 partial product",per-product zero/sat/linear region with exact patch table,single product_mag function,material source change from full tables/product-zero/region-action/replay,,,,,,
ex247,ex247_r75_sigpair_delta_patch,,,,,,,sub-fp8-muldiv-redesc-r75,source-only Verilog candidate,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/shared_structure_report.csv,,,,,,,keep/refine E5M2FN low-over-high division,"sign xor, exponent delta, sig_n/sig_d",sigpair zero/sat/linear region with exact patch table,single quotient_mag function,material source change from full tables/product-zero/region-action/replay,,,,,,
ex297,ex297_r75_pairsel_sel2_cluster_static,14-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed useful bounded selector/cell branches but table-sized recurrences remain rejected.,pairsel template provides most outputs; only output bits 10/11 use the sel2 BDD cone,static_sel2_cluster_bits,bounded static per-output cone reuse from official exact source families,26617/16/425872,ex297|cyclic_2bit_static_bitcone_graft|static selected output bits from sel2-cluster source over pairsel current best|pairsel template provides most outputs; only output bits 10/11 use the sel2 BDD cone|yosys_internal_abc_g_aig|official_evaluate|static_sel2_cluster_bits,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:pairsel,1:pairsel,2:pairsel,3:pairsel,4:pairsel,5:pairsel,6:pairsel,7:pairsel,8:pairsel,9:pairsel,10:sel2,11:sel2,12:pairsel,13:pairsel; synth_sec=47.533; eval_sec=0.820",cyclic_2bit_selector_cell_static_graft,pairsel template provides most outputs; only output bits 10/11 use the sel2 BDD cone,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"pairsel,sel2",425024,425872,848,26617,16
ex297,ex297_r75_pairsel_celllocal_lowcells,14-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed useful bounded selector/cell branches but table-sized recurrences remain rejected.,cell-local inversion source covers cells 0..2 while pairsel template covers the rest,static_celllocal_low_cells,bounded static per-output cone reuse from official exact source families,26641/16/426256,ex297|cyclic_2bit_static_bitcone_graft|static low-cell output cones from cell-local source over pairsel current best|cell-local inversion source covers cells 0..2 while pairsel template covers the rest|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_low_cells,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:celllocal,1:celllocal,2:celllocal,3:celllocal,4:celllocal,5:celllocal,6:pairsel,7:pairsel,8:pairsel,9:pairsel,10:pairsel,11:pairsel,12:pairsel,13:pairsel; synth_sec=43.716; eval_sec=0.770",cyclic_2bit_selector_cell_static_graft,cell-local inversion source covers cells 0..2 while pairsel template covers the rest,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"pairsel,celllocal",425024,426256,1232,26641,16
