round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,,blocked_reason,next_non_repeated_route_hypothesis,evidence_path
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,float_fp8,E4M3FN packed hypot,quotient/product/hypot structural family planning,shared max/min field decode plus non-replay delta residual predicates,ex244|E4M3FN packed hypot abs_high_low|hypot residual PLA with bounded saturating increment reconstruction|shared max/min effective exponent gap and significand predicates|repo_yosys_frontend|official_evaluate|full_word,queued_pending_evaluation,Checkpoint before r84 candidate generation; no official evaluate.py row yet.,,,queued after ex247/ex246; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/verilog/ex244_r84_hypot_residual_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/failed_hypotheses.csv,,,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247/ex246/ex244,float_fp8,forbidden anchor replay,do-not-repeat anchor families from r80-r83,none,assigned_cases|avoid_r80_r83_anchor_replay|zero_product_bypass|sorted_product|sat_delta_tail|feature_SOP|step_onehot|boundary_replay,blocked_by_assignment,User explicitly forbids r80-r83 anchors and several source replay families unless substantially different; this shard will not replay them unchanged.,,,Applies before any r84 generation to keep candidate selection scoped.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/failed_hypotheses.csv,,,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex249,float_fp8,E5M2FN packed hypot abs high low,raw-exp threshold wrappers/source-tail regrouping,raw exponent gap0/gap1 threshold delta table with output regrouping,"ex249|E5M2FN packed hypot abs(high,low)|raw-exp threshold wrappers/output regrouping|existing active-gap threshold shell|prior_notes_only|official_evaluate_prior|full_word",blocked_prior_notes,"Prior rounds r62/r64/r74-r78 show threshold wrappers, ratio/squared-ratio, split increment tails, PO tails, and output grouping are exact or non-equivalent but do not improve frontend; round84 will not replay them unchanged.",,,active next: shallow predicate basis or truth-derived FP8-coordinate residual; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-wide-r84/ex249/verilog/ex249_r84_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/failed_hypotheses.csv,,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,nested product table wrappers and product-param formula replays,shared sign xor exponent sum product key with table wrappers,ex241|E4M3FN packed multiply|nested/product-param source wrappers|existing product/exponent shell|prior_notes_only|official_evaluate_prior|full_word,blocked_prior_notes,"Prior rounds r74-r78 show direct semantic-key tables, zero-product bypass, PO clustering, product-param formula, and source-boundary variants do not beat frontend/current target; round84 will change product/rounding basis or use a new exact structural representation.",,,active queue after ex249: product-coordinate residual or FP8-field BDD; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-wide-r84/ex241/verilog/ex241_r84_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/failed_hypotheses.csv,,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex240,float_fp8,E4M3FN packed add high byte plus low byte,source-preserving diff-normalizer/output-tail wrappers,shared same-sign GRS path and compact diff normalizer with keep/output grouping,ex240|E4M3FN packed add|source-boundary/output-tail wrappers|existing r64 signmag/diff-normalizer shell|prior_notes_only|official_evaluate_prior|full_word,blocked_prior_notes,"Prior rounds r61-r78 show formula/gapcase wrappers, branch-pack split norm, sign/magnitude output-tail rewrites, keep annotations, and output grouping do not beat r64/current target; round84 will only try materially new cancellation predicates or exact FP8-coordinate structural residuals.",,,queued after ex249/ex241: compact cancellation predicate basis or field-ordered exact BDD; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-wide-r84/ex240/verilog/ex240_r84_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/failed_hypotheses.csv,,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex245,float_fp8,E5M2FN packed add high byte plus low byte,gap-class wrappers/output clustering,shared sorted E5M2 field decode and active same/diff residual,ex245|E5M2FN packed add|gap-class source wrappers/output clustering|existing small-gap same-diff residual|prior_notes_only|official_evaluate_prior|full_word,blocked_prior_notes,"Prior rounds r74-r78 show selected-mag functions, zero-pair shells, PO clustering, gap-class replay, and output splits do not improve; round84 will change the active-region residual representation instead of wrapping the same source.",,,queued after ex240: alternate active-region residual or field-ordered exact BDD; expected next artifact student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-wide-r84/ex245/verilog/ex245_r84_*.v,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/failed_hypotheses.csv,,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,transition_mask_or_dual_pivot_replay,prior_transition_mask_and_dual_pivot_roots,none,ex297|round84_precheck|transition_mask_or_dual_pivot_replay|blocked_before_generation|no_synth|prior_official_nonwinning_and_source_size_gate|cell_pair_outputs,blocked_prior_notes,prior r81 transition descriptor was official nonwinning at area26637_delay16_adp426192 against current425024 and r83 dual-pivot was blocked by table-sized or synth-failed roots,,,not replaying prior rot2 transition masks selected-output mixes or dual-pivot cofactors unchanged,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_precheck_no_replay,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,transition_mask_or_dual_pivot_replay,prior_transition_mask_and_dual_pivot_roots,none,ex299|round84_precheck|transition_mask_or_dual_pivot_replay|blocked_before_generation|no_synth|prior_official_nonwinning_and_source_size_gate|cell_pair_outputs,blocked_prior_notes,prior r81 transition descriptor was official nonwinning at area98818_delay18_adp1778724 against current1777032 and r83 dual-pivot was blocked by table-sized or synth-failed roots,,,not replaying prior rot2 transition masks selected-output mixes or dual-pivot cofactors unchanged,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_precheck_no_replay,prior_note_blocker,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,cyclic_2bit_symbol_automaton_state,cell_window_r3_full_ring,shared_rotation_center,ex297|cyclic_2bit_symbol_automaton_state|local_window_r3|shared_rotation_center|truth_conflict_screen|output_cell,blocked_table_sized,exact only when radius3 covers all seven 2bit cells with 16384 entries above compact limit4096,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_cyclic_cell_window_r3,table_sized_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,recurrence_adjacency_invariant,cell_window_r2_adjacency_mod3,shared_transition_counts,ex297|recurrence_adjacency_invariant|local_window_r2_adjacency_mod3|shared_transition_counts|truth_conflict_screen|output_cell,blocked_conflicting_descriptor,best recurrence adjacency invariant still had 5404 conflicting samples and 16002 estimated entries,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_adjacency_mod3_r2,conflicting_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,linear_root_nonlinear_residual,anf_output_bit0,linear_plus_sparse_residual,ex297|linear_root_nonlinear_residual|anf_output_bit0|linear_plus_sparse_residual|truth_conflict_screen|single_output,blocked_dense_residual,best ANF root had 7354 coefficients with 7353 nonlinear residual coefficients above compact limit4096,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_linear_anf_bit0,dense_residual,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,output_ring_segmentation,cell_window_r0_segment2,segmented_outputs,ex297|output_ring_segmentation|local_window_r0_cell_segment_mod2|segmented_outputs|truth_conflict_screen|output_cell,blocked_conflicting_descriptor,segmentation did not reduce ambiguity with 114688 conflicting samples even at r2 segment4,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_segment_mod2_r0,conflicting_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,unknown,bdd_cofactor_shared_descriptor_roots,local_root_r2_cofactor_reuse,subfunction_fingerprint_reuse,ex297|bdd_cofactor_shared_descriptor_roots|local_root_r2|subfunction_fingerprint_reuse|truth_conflict_screen|output_cell,blocked_no_exact_root,local root r2 showed 1775 unique subfunctions but root descriptor was not deterministic so no compact standalone RTL was emitted,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex297_r84_bdd_local_r2,no_exact_root,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,cyclic_2bit_symbol_automaton_state,cell_window_r4_full_ring,shared_rotation_center,ex299|cyclic_2bit_symbol_automaton_state|local_window_r4|shared_rotation_center|truth_conflict_screen|output_cell,blocked_table_sized,exact only when radius4 covers all eight 2bit cells with 65536 entries above compact limit8192,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_cyclic_cell_window_r4,table_sized_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,recurrence_adjacency_invariant,cell_window_r2_adjacency_mod3,shared_transition_counts,ex299|recurrence_adjacency_invariant|local_window_r2_adjacency_mod3|shared_transition_counts|truth_conflict_screen|output_cell,blocked_conflicting_descriptor,best recurrence adjacency invariant still had 104168 conflicting samples and 60272 estimated entries,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_adjacency_mod3_r2,conflicting_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,linear_root_nonlinear_residual,anf_output_bit0,linear_plus_sparse_residual,ex299|linear_root_nonlinear_residual|anf_output_bit0|linear_plus_sparse_residual|truth_conflict_screen|single_output,blocked_dense_residual,best ANF root had 29834 coefficients with 29833 nonlinear residual coefficients above compact limit8192,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_linear_anf_bit0,dense_residual,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,output_ring_segmentation,cell_window_r0_segment2,segmented_outputs,ex299|output_ring_segmentation|local_window_r0_cell_segment_mod2|segmented_outputs|truth_conflict_screen|output_cell,blocked_conflicting_descriptor,segmentation did not reduce ambiguity with 524288 conflicting samples through r2 segment4,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_segment_mod2_r0,conflicting_descriptor,,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,unknown,bdd_cofactor_shared_descriptor_roots,local_root_r2_cofactor_reuse,subfunction_fingerprint_reuse,ex299|bdd_cofactor_shared_descriptor_roots|local_root_r2|subfunction_fingerprint_reuse|truth_conflict_screen|output_cell,blocked_no_exact_root,local roots were not deterministic and r2 still had 2730 unique subfunctions so no compact standalone RTL was emitted,,,diagnostic student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/failed_hypotheses.csv,ex299_r84_bdd_local_r2,no_exact_root,,,,,
,,sub-unknown-route-r84,ex285,,repeat_keybdd_symcof_pairdesc_wrappers,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|keybdd_symcof_pairdesc_replay|prior_case_notes_only|no_synth|full_word,BLOCKED_NO_CANDIDATE,,,,Status checkpoint row before new generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/failed_hypotheses.csv,,,,,Prior case notes show keyBDD/symcof/pairdesc wrappers and selected-output grafts were official exact but nonwinning; this shard will not repeat them unchanged,popcount layer plus canonical sorted-position descriptor with compact residual screen,student/cases/ex280_ex299_unknown/ex285/frontend_attempts.md
,,sub-unknown-route-r84,ex288,,repeat_bucket_key_table_or_keybdd_selected_bit,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|bucket_key_table_keybdd_replay|prior_case_notes_only|no_synth|full_word,BLOCKED_NO_CANDIDATE,,,,Status checkpoint row before new generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/failed_hypotheses.csv,,,,,Prior case notes show bucket-key tables and keyBDD selected-bit/symcof variants are exact but nonwinning or table-scale; this shard will not repeat them unchanged,inverse-route normalizer or edge/middle lane state machine with compact exact residual screen,student/cases/ex280_ex299_unknown/ex288/frontend_attempts.md
,,sub-unknown-route-r84,ex285,,hamming-weight route edge/middle lane state machine,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|edge_middle_lane_state|shared_edge/middle_lane_counts_plus_known_pair_OR/AND_states|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted because the route/state descriptor did not expose enough exact grouped delta behavior.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/failed_hypotheses.csv,,,,,descriptor produced only 0 selected rows across 0 groups; conflict_keys=1048; conflicted_rows=3328,"If lane states do not cover enough exact delta groups, try inverse-route transition states.",student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-route-r84/ex285/diagnostics/ex285_r84_edge_middle_lane_state_screen.json
,,sub-unknown-route-r84,ex288,,hamming-weight route inverse normalizer,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|inverse_route_normalizer|shared_output-edge_and_input/output_delta_lane_predicates|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted because the route/state descriptor did not expose enough exact grouped delta behavior.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/failed_hypotheses.csv,,,,,descriptor produced only 0 selected rows across 0 groups; conflict_keys=3017; conflicted_rows=32557,"If inverse-route states need too many exact groups, try low-rank GF(2)+residual groups.",student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-route-r84/ex288/diagnostics/ex288_r84_inverse_route_normalizer_screen.json
,,sub-unknown-route-r84,ex288,,hamming-weight route edge/middle lane state machine,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|edge_middle_lane_state|shared_edge/middle_lane_counts_plus_known_pair_OR/AND_states|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted because the route/state descriptor did not expose enough exact grouped delta behavior.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/failed_hypotheses.csv,,,,,descriptor produced only 0 selected rows across 0 groups; conflict_keys=5728; conflicted_rows=30976,"If lane states do not cover enough exact delta groups, try inverse-route transition states.",student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-route-r84/ex288/diagnostics/ex288_r84_edge_middle_lane_state_screen.json
