round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_quadrant_word_lut_abc_g_aig,sign_quadrant_word_lut,5,all,one low6 key drives four signed quadrant output words,227,11,2497,shared low magnitude key plus sign-pair word mux,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_bias_correct_unsigned_synth_preset_d13,bias_corrected_unsigned_core,4,all,shared unsigned product with two sign correction shifts,131,19,2489,unsigned product plus correction buses,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_mixed_region_udiv_synth_preset_d10,mixed_region_divider,6,all,shared high-divisor q<=2 predicates before low-region division,89,28,2492,dbz/pow2/high-divisor guards and compact residual low region,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_parallel_topbits_abc_g_aig,parallel_topbit_thresholds,5,all,top quotient class shares shifted divisor comparisons,160,40,6400,parallel top-class threshold predicates,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex265,ex265_r80_mixed_region_udiv_synth_preset_d10,mixed_region_divider,6,all,shared high-divisor q<=2 predicates before low-region division,49,18,882,dbz/pow2/high-divisor guards and compact residual low region,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex267,ex267_r80_mixed_region_udiv_synth_preset_d18,mixed_region_divider,6,all,shared high-divisor q<=2 predicates before low-region division,142,40,5680,dbz/pow2/high-divisor guards and compact residual low region,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex270,ex270_r80_square_balanced_term_tree_abc_g_aig,balanced_square_term_tree,many,all,each square cross term generated once before balanced source adds,209,30,6270,shared square partial products with balanced source tree,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex273,ex273_r80_square_balanced_term_tree_synth_preset_d32,balanced_square_term_tree,many,all,each square cross term generated once before balanced source adds,751,46,34546,shared square partial products with balanced source tree,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex274,ex274_r80_square_balanced_term_tree_synth_preset_d40,balanced_square_term_tree,many,all,each square cross term generated once before balanced source adds,966,61,58926,shared square partial products with balanced source tree,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex276,ex276_r80_hi6_interval_wordmux_abc_g_aig,hi6_interval_wordmux,3,all,one high bucket word drives all output bits with shared next-root thresholds,195,32,6240,hi6 interval word mux with shared local ge predicates,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex297,ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11,selected_output_mix,2 full-output source modules,"bits 2,3,10,11 from pairxor donor; rest r73 pairsel",complete skipped r79 ex297 low/high pairxor groups without replaying r78 midpair,26677,16,426832,equivalent by official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_hightail_10_11,selected_output_mix,2 full-output source modules,"bits 10,11 celllocal high-tail source",finish stopped r79 high-tail idea with official evaluate.py,98781,18,1778058,equivalent by official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_edge_quads_0_1_14_15,edge_output_mix,2 full-output source modules,"bits 0,1,14,15 from celllocal donor",test edge cofactor groups instead of the exhausted center pair89/nearby bits,98773,18,1777914,equivalent by official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_layer_pairdesc_edge_cofactor,hamming_layer_pair_descriptor_cofactor,6,"0,1,10,11",test whether route layer predicates reduce selected edge output cones versus unconditional grafts,809,19,15371,Different from r75-r79 unconditional edge/root grafts: selected exact body is cofactored by layer and pair descriptors.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_center_outer_cofactor_mix,center_layer_outer_cofactor,2,"0,3,8,11",separate central layers from boundary layers without replaying r79 paircanon edge-only grouping,812,18,14616,"Uses exact source-body cofactoring by central-layer predicates, not paircanonical wrapper replay.",student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_pairdesc_k6_cofactor,pair_descriptor_k6_cofactor,7,"0,6,8,14",reduce selected keyBDD body pressure through descriptor-cofactored k6 roots,2287,15,34305,Different from r79 lowdelay adjacent graft: selection is descriptor-cofactored and includes endpoint outputs.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_midlayer_k6_cofactor,middle_layer_k6_cofactor,1,"5,6,8,9",test a layer-specific k6 cofactor instead of an unconditional r79 adjacent graft,2267,16,36272,"Uses a Hamming-layer cofactor over selected adjacent outputs, not the r79 unconditional bits 6/8 graft.",student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex292,ex292_r80_mod4_mirror_lane_cofactor,global_state_mirror_lane_cofactor,5,"1,5,9,13",sample global-state descriptor without replaying stride-2 prefix/suffix residuals,6750,22,148500,Different from r25/r74 root-order replays: exact source bodies are cofactored by mirror lane parity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex294,ex294_r80_mod4_shared_mirror_cofactor,global_state_sparse_mirror_cofactor,5,"0,4,8,12",test mod4-plane root cofactor with sparse mirror state instead of stride-2 residual replay,10675,23,245525,Uses a sparse mirror cofactor around exact shared/mod4 bodies; not a simple mod4 root-order replay.,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/shared_structure_report.csv
